target_month,station_id,district_id,month_number,lag_1,lag_2,lag_3,lag_12,rolling_3,rolling_6,target_next_month
2024-06-01,3,1,5,19,17,19,14,18.333,17.5,19
2024-07-01,3,1,6,19,19,17,22,18.333,18.0,19
2024-08-01,3,1,7,19,19,19,15,19.0,18.333,24
2024-09-01,3,1,8,19,19,19,22,19.0,18.667,18
2024-10-01,3,1,9,24,19,19,15,20.667,19.5,13
2024-11-01,3,1,10,18,24,19,25,20.333,19.667,20
2024-12-01,3,1,11,13,18,24,16,18.333,18.667,14
2025-01-01,3,1,12,20,13,18,17,17.0,18.833,21
2025-02-01,3,1,1,14,20,13,17,15.667,18.0,15
2025-03-01,3,1,2,21,14,20,19,18.333,18.333,27
2025-04-01,3,1,3,15,21,14,17,16.667,16.833,20
2025-05-01,3,1,4,27,15,21,19,21.0,18.333,18
2025-06-01,3,1,5,20,27,15,19,20.667,19.5,13
2025-07-01,3,1,6,18,20,27,19,21.667,19.167,24
2025-08-01,3,1,7,13,18,20,19,17.0,19.0,20
2025-09-01,3,1,8,24,13,18,24,18.333,19.5,12
2025-10-01,3,1,9,20,24,13,18,19.0,20.333,14
2025-11-01,3,1,10,12,20,24,13,18.667,17.833,16
2025-12-01,3,1,11,14,12,20,20,15.333,16.833,22
2023-02-01,4,1,1,10,16,21,16,15.667,16.0,19
2023-03-01,4,1,2,26,10,16,21,17.333,17.5,13
2023-04-01,4,1,3,19,26,10,26,18.333,18.333,17
2023-05-01,4,1,4,13,19,26,16,19.333,17.5,21
2023-06-01,4,1,5,17,13,19,16,16.333,16.833,19
2023-07-01,4,1,6,21,17,13,17,17.0,17.667,19
2023-08-01,4,1,7,19,21,17,17,19.0,19.167,15
2023-09-01,4,1,8,19,19,21,14,19.667,18.0,18
2023-10-01,4,1,9,15,19,19,18,17.667,17.333,18
2023-11-01,4,1,10,18,15,19,21,17.333,18.167,12
2023-12-01,4,1,11,18,18,15,16,17.0,18.333,14
2024-01-01,4,1,12,12,18,18,10,16.0,16.833,24
2024-02-01,4,1,1,14,12,18,26,14.667,16.0,21
2024-03-01,4,1,2,24,14,12,19,16.667,16.833,19
2024-04-01,4,1,3,21,24,14,13,19.667,17.833,18
2024-05-01,4,1,4,19,21,24,17,21.333,18.0,15
2024-06-01,4,1,5,18,19,21,21,19.333,18.0,25
2024-07-01,4,1,6,15,18,19,19,17.333,18.5,14
2024-08-01,4,1,7,25,15,18,19,19.333,20.333,17
2024-09-01,4,1,8,14,25,15,15,18.0,18.667,14
2024-10-01,4,1,9,17,14,25,18,18.667,18.0,16
2024-11-01,4,1,10,14,17,14,18,15.0,17.167,24
2024-12-01,4,1,11,16,14,17,12,15.667,16.833,11
2025-01-01,4,1,12,24,16,14,14,18.0,18.333,19
2025-02-01,4,1,1,11,24,16,24,17.0,16.0,19
2025-03-01,4,1,2,19,11,24,21,18.0,16.833,15
2025-04-01,4,1,3,19,19,11,19,16.333,17.167,16
2025-05-01,4,1,4,15,19,19,18,17.667,17.333,13
2025-06-01,4,1,5,16,15,19,15,16.667,17.333,17
2025-07-01,4,1,6,13,16,15,25,14.667,15.5,14
2025-08-01,4,1,7,17,13,16,14,15.333,16.5,18
2025-09-01,4,1,8,14,17,13,17,14.667,15.667,13
2025-10-01,4,1,9,18,14,17,14,16.333,15.5,15
2025-11-01,4,1,10,13,18,14,16,15.0,15.167,18
2025-12-01,4,1,11,15,13,18,24,15.333,15.0,17
2023-02-01,5,1,1,24,18,19,23,20.333,21.333,17
2023-03-01,5,1,2,20,24,18,14,20.667,20.5,15
2023-04-01,5,1,3,17,20,24,19,20.333,19.167,15
2023-05-01,5,1,4,15,17,20,17,17.333,18.833,24
2023-06-01,5,1,5,15,15,17,26,15.667,18.167,18
2023-07-01,5,1,6,24,15,15,15,18.0,19.167,17
2023-08-01,5,1,7,18,24,15,25,19.0,18.167,16
2023-09-01,5,1,8,17,18,24,25,19.667,17.667,12
2023-10-01,5,1,9,16,17,18,17,17.0,17.5,15
2023-11-01,5,1,10,12,16,17,19,15.0,17.0,20
2023-12-01,5,1,11,15,12,16,18,14.333,17.0,22
2024-01-01,5,1,12,20,15,12,24,15.667,16.333,18
2024-02-01,5,1,1,22,20,15,20,19.0,17.0,20
2024-03-01,5,1,2,18,22,20,17,20.0,17.167,27
2024-04-01,5,1,3,20,18,22,15,20.0,17.833,12
2024-05-01,5,1,4,27,20,18,15,21.667,20.333,24
2024-06-01,5,1,5,12,27,20,24,19.667,19.833,25
2024-07-01,5,1,6,24,12,27,18,21.0,20.5,16
2024-08-01,5,1,7,25,24,12,17,20.333,21.0,12
2024-09-01,5,1,8,16,25,24,16,21.667,20.667,15
2024-10-01,5,1,9,12,16,25,12,17.667,19.333,20
2024-11-01,5,1,10,15,12,16,15,14.333,17.333,13
2024-12-01,5,1,11,20,15,12,20,15.667,18.667,18
2025-01-01,5,1,12,13,20,15,22,16.0,16.833,25
2025-02-01,5,1,1,18,13,20,18,17.0,15.667,13
2025-03-01,5,1,2,25,18,13,20,18.667,17.167,17
2025-04-01,5,1,3,13,25,18,27,18.667,17.333,14
2025-05-01,5,1,4,17,13,25,12,18.333,17.667,27
2025-06-01,5,1,5,14,17,13,24,14.667,16.667,25
2025-07-01,5,1,6,27,14,17,25,19.333,19.0,23
2025-08-01,5,1,7,25,27,14,16,22.0,20.167,23
2025-09-01,5,1,8,23,25,27,12,25.0,19.833,23
2025-10-01,5,1,9,23,23,25,15,23.667,21.5,13
2025-11-01,5,1,10,23,23,23,20,23.0,22.5,23
2025-12-01,5,1,11,13,23,23,13,19.667,22.333,17
2023-02-01,6,1,1,11,18,27,14,18.667,17.0,14
2023-03-01,6,1,2,11,11,18,18,13.333,15.5,18
2023-04-01,6,1,3,14,11,11,11,12.0,15.167,17
2023-05-01,6,1,4,18,14,11,21,14.333,16.5,11
2023-06-01,6,1,5,17,18,14,14,16.333,14.833,16
2023-07-01,6,1,6,11,17,18,25,15.333,13.667,14
2023-08-01,6,1,7,16,11,17,20,14.667,14.5,14
2023-09-01,6,1,8,14,16,11,16,13.667,15.0,18
2023-10-01,6,1,9,14,14,16,10,14.667,15.0,24
2023-11-01,6,1,10,18,14,14,27,15.333,15.0,20
2023-12-01,6,1,11,24,18,14,18,18.667,16.167,27
2024-01-01,6,1,12,20,24,18,11,20.667,17.667,18
2024-02-01,6,1,1,27,20,24,11,23.667,19.5,23
2024-03-01,6,1,2,18,27,20,14,21.667,20.167,21
2024-04-01,6,1,3,23,18,27,18,22.667,21.667,15
2024-05-01,6,1,4,21,23,18,17,20.667,22.167,31
2024-06-01,6,1,5,15,21,23,11,19.667,20.667,17
2024-07-01,6,1,6,31,15,21,16,22.333,22.5,22
2024-08-01,6,1,7,17,31,15,14,21.0,20.833,21
2024-09-01,6,1,8,22,17,31,14,23.333,21.5,17
2024-10-01,6,1,9,21,22,17,18,20.0,21.167,21
2024-11-01,6,1,10,17,21,22,24,20.0,20.5,14
2024-12-01,6,1,11,21,17,21,20,19.667,21.5,17
2025-01-01,6,1,12,14,21,17,27,17.333,18.667,16
2025-02-01,6,1,1,17,14,21,18,17.333,18.667,15
2025-03-01,6,1,2,16,17,14,23,15.667,17.667,16
2025-04-01,6,1,3,15,16,17,21,16.0,16.667,17
2025-05-01,6,1,4,16,15,16,15,15.667,16.5,10
2025-06-01,6,1,5,17,16,15,31,16.0,15.833,22
2025-07-01,6,1,6,10,17,16,17,14.333,15.167,11
2025-08-01,6,1,7,22,10,17,22,16.333,16.0,23
2025-09-01,6,1,8,11,22,10,21,14.333,15.167,18
2025-10-01,6,1,9,23,11,22,17,18.667,16.5,24
2025-11-01,6,1,10,18,23,11,21,17.333,16.833,31
2025-12-01,6,1,11,24,18,23,14,21.667,18.0,20
2023-02-01,7,1,1,17,22,17,19,18.667,19.0,20
2023-03-01,7,1,2,26,17,22,14,21.667,21.0,19
2023-04-01,7,1,3,20,26,17,20,21.0,21.167,22
2023-05-01,7,1,4,19,20,26,21,21.667,20.167,20
2023-06-01,7,1,5,22,19,20,14,20.333,21.0,24
2023-07-01,7,1,6,20,22,19,16,20.333,20.667,27
2023-08-01,7,1,7,24,20,22,14,22.0,21.833,18
2023-09-01,7,1,8,27,24,20,19,23.667,22.0,17
2023-10-01,7,1,9,18,27,24,25,23.0,21.667,19
2023-11-01,7,1,10,17,18,27,17,20.667,21.333,28
2023-12-01,7,1,11,19,17,18,22,18.0,20.833,14
2024-01-01,7,1,12,28,19,17,17,21.333,22.167,21
2024-02-01,7,1,1,14,28,19,26,20.333,20.5,20
2024-03-01,7,1,2,21,14,28,20,21.0,19.5,20
2024-04-01,7,1,3,20,21,14,19,18.333,19.833,20
2024-05-01,7,1,4,20,20,21,22,20.333,20.333,17
2024-06-01,7,1,5,20,20,20,20,20.0,20.5,13
2024-07-01,7,1,6,17,20,20,24,19.0,18.667,25
2024-08-01,7,1,7,13,17,20,27,16.667,18.5,19
2024-09-01,7,1,8,25,13,17,18,18.333,19.167,24
2024-10-01,7,1,9,19,25,13,17,19.0,19.0,22
2024-11-01,7,1,10,24,19,25,19,22.667,19.667,13
2024-12-01,7,1,11,22,24,19,28,21.667,20.0,15
2025-01-01,7,1,12,13,22,24,14,19.667,19.333,18
2025-02-01,7,1,1,15,13,22,21,16.667,19.667,12
2025-03-01,7,1,2,18,15,13,20,15.333,18.5,23
2025-04-01,7,1,3,12,18,15,20,15.0,17.333,17
2025-05-01,7,1,4,23,12,18,20,17.667,17.167,17
2025-06-01,7,1,5,17,23,12,17,17.333,16.333,15
2025-07-01,7,1,6,17,17,23,13,19.0,17.0,9
2025-08-01,7,1,7,15,17,17,25,16.333,17.0,20
2025-09-01,7,1,8,9,15,17,19,13.667,15.5,18
2025-10-01,7,1,9,20,9,15,24,14.667,16.833,21
2025-11-01,7,1,10,18,20,9,22,15.667,16.0,20
2025-12-01,7,1,11,21,18,20,13,19.667,16.667,21
2023-02-01,8,1,1,17,28,18,25,21.0,18.333,15
2023-03-01,8,1,2,16,17,28,17,20.333,18.5,19
2023-04-01,8,1,3,15,16,17,23,16.0,17.667,27
2023-05-01,8,1,4,19,15,16,25,16.667,18.833,17
2023-06-01,8,1,5,27,19,15,23,20.333,20.333,18
2023-07-01,8,1,6,17,27,19,23,21.0,18.5,23
2023-08-01,8,1,7,18,17,27,15,20.667,18.667,15
2023-09-01,8,1,8,23,18,17,20,19.333,19.833,16
2023-10-01,8,1,9,15,23,18,12,18.667,19.833,23
2023-11-01,8,1,10,16,15,23,18,18.0,19.333,19
2023-12-01,8,1,11,23,16,15,28,18.0,18.667,28
2024-01-01,8,1,12,19,23,16,17,19.333,19.0,24
2024-02-01,8,1,1,28,19,23,16,23.333,20.667,33
2024-03-01,8,1,2,24,28,19,15,23.667,20.833,20
2024-04-01,8,1,3,33,24,28,19,28.333,23.833,17
2024-05-01,8,1,4,20,33,24,27,25.667,24.5,18
2024-06-01,8,1,5,17,20,33,17,23.333,23.5,17
2024-07-01,8,1,6,18,17,20,18,18.333,23.333,17
2024-08-01,8,1,7,17,18,17,23,17.333,21.5,20
2024-09-01,8,1,8,17,17,18,15,17.333,20.333,18
2024-10-01,8,1,9,20,17,17,16,18.0,18.167,22
2024-11-01,8,1,10,18,20,17,23,18.333,17.833,24
2024-12-01,8,1,11,22,18,20,19,20.0,18.667,18
2025-01-01,8,1,12,24,22,18,28,21.333,19.667,14
2025-02-01,8,1,1,18,24,22,24,21.333,19.833,16
2025-03-01,8,1,2,14,18,24,33,18.667,19.333,15
2025-04-01,8,1,3,16,14,18,20,16.0,18.667,21
2025-05-01,8,1,4,15,16,14,17,15.0,18.167,20
2025-06-01,8,1,5,21,15,16,18,17.333,18.0,18
2025-07-01,8,1,6,20,21,15,17,18.667,17.333,21
2025-08-01,8,1,7,18,20,21,17,19.667,17.333,25
2025-09-01,8,1,8,21,18,20,20,19.667,18.5,22
2025-10-01,8,1,9,25,21,18,18,21.333,20.0,23
2025-11-01,8,1,10,22,25,21,22,22.667,21.167,14
2025-12-01,8,1,11,23,22,25,24,23.333,21.5,21
2023-02-01,9,1,1,16,11,19,24,15.333,16.0,19
2023-03-01,9,1,2,26,16,11,17,17.667,17.333,17
2023-04-01,9,1,3,19,26,16,20,20.333,19.0,23
2023-05-01,9,1,4,17,19,26,29,20.667,18.0,17
2023-06-01,9,1,5,23,17,19,20,19.667,18.667,17
2023-07-01,9,1,6,17,23,17,18,19.0,19.667,18
2023-08-01,9,1,7,17,17,23,18,19.0,19.833,14
2023-09-01,9,1,8,18,17,17,9,17.333,18.5,16
2023-10-01,9,1,9,14,18,17,23,16.333,17.667,13
2023-11-01,9,1,10,16,14,18,19,16.0,17.5,24
2023-12-01,9,1,11,13,16,14,11,14.333,15.833,24
2024-01-01,9,1,12,24,13,16,16,17.667,17.0,20
2024-02-01,9,1,1,24,24,13,26,20.333,18.167,21
2024-03-01,9,1,2,20,24,24,19,22.667,18.5,21
2024-04-01,9,1,3,21,20,24,17,21.667,19.667,27
2024-05-01,9,1,4,21,21,20,23,20.667,20.5,10
2024-06-01,9,1,5,27,21,21,17,23.0,22.833,11
2024-07-01,9,1,6,10,27,21,17,19.333,20.5,17
2024-08-01,9,1,7,11,10,27,18,16.0,18.333,23
2024-09-01,9,1,8,17,11,10,14,12.667,17.833,12
2024-10-01,9,1,9,23,17,11,16,17.0,18.167,21
2024-11-01,9,1,10,12,23,17,13,17.333,16.667,16
2024-12-01,9,1,11,21,12,23,24,18.667,15.667,24
2025-01-01,9,1,12,16,21,12,24,16.333,16.667,17
2025-02-01,9,1,1,24,16,21,20,20.333,18.833,18
2025-03-01,9,1,2,17,24,16,21,19.0,18.833,16
2025-04-01,9,1,3,18,17,24,21,19.667,18.0,18
2025-05-01,9,1,4,16,18,17,27,17.0,18.667,11
2025-06-01,9,1,5,18,16,18,10,17.333,18.167,17
2025-07-01,9,1,6,11,18,16,11,15.0,17.333,22
2025-08-01,9,1,7,17,11,18,17,15.333,16.167,24
2025-09-01,9,1,8,22,17,11,23,16.667,17.0,16
2025-10-01,9,1,9,24,22,17,12,21.0,18.0,13
2025-11-01,9,1,10,16,24,22,21,20.667,18.0,30
2025-12-01,9,1,11,13,16,24,16,17.667,17.167,24
2023-02-01,10,1,1,15,21,20,11,18.667,19.833,14
2023-03-01,10,1,2,18,15,21,13,18.0,20.333,20
2023-04-01,10,1,3,14,18,15,15,15.667,19.333,14
2023-05-01,10,1,4,20,14,18,12,17.333,18.0,24
2023-06-01,10,1,5,14,20,14,23,16.0,17.0,27
2023-07-01,10,1,6,24,14,20,18,19.333,17.5,17
2023-08-01,10,1,7,27,24,14,15,21.667,19.5,8
2023-09-01,10,1,8,17,27,24,20,22.667,19.333,8
2023-10-01,10,1,9,8,17,27,28,17.333,18.333,16
2023-11-01,10,1,10,8,8,17,20,11.0,16.333,19
2023-12-01,10,1,11,16,8,8,21,10.667,16.667,24
2024-01-01,10,1,12,19,16,8,15,14.333,15.833,31
2024-02-01,10,1,1,24,19,16,18,19.667,15.333,14
2024-03-01,10,1,2,31,24,19,14,24.667,17.667,23
2024-04-01,10,1,3,14,31,24,20,23.0,18.667,23
2024-05-01,10,1,4,23,14,31,14,22.667,21.167,14
2024-06-01,10,1,5,23,23,14,24,20.0,22.333,16
2024-07-01,10,1,6,14,23,23,27,20.0,21.5,14
2024-08-01,10,1,7,16,14,23,17,17.667,20.167,16
2024-09-01,10,1,8,14,16,14,8,14.667,17.333,27
2024-10-01,10,1,9,16,14,16,8,15.333,17.667,14
2024-11-01,10,1,10,27,16,14,16,19.0,18.333,17
2024-12-01,10,1,11,14,27,16,19,19.0,16.833,18
2025-01-01,10,1,12,17,14,27,24,19.333,17.333,21
2025-02-01,10,1,1,18,17,14,31,16.333,17.667,12
2025-03-01,10,1,2,21,18,17,14,18.667,18.833,24
2025-04-01,10,1,3,12,21,18,23,17.0,18.167,32
2025-05-01,10,1,4,24,12,21,23,19.0,17.667,16
2025-06-01,10,1,5,32,24,12,14,22.667,20.667,21
2025-07-01,10,1,6,16,32,24,16,24.0,20.5,14
2025-08-01,10,1,7,21,16,32,14,23.0,21.0,16
2025-09-01,10,1,8,14,21,16,16,17.0,19.833,19
2025-10-01,10,1,9,16,14,21,27,17.0,20.5,25
2025-11-01,10,1,10,19,16,14,14,16.333,19.667,18
2025-12-01,10,1,11,25,19,16,17,20.0,18.5,20
2023-02-01,11,1,1,13,18,25,15,18.667,19.5,12
2023-03-01,11,1,2,16,13,18,9,15.667,17.167,17
2023-04-01,11,1,3,12,16,13,23,13.667,16.167,21
2023-05-01,11,1,4,17,12,16,20,15.0,16.833,20
2023-06-01,11,1,5,21,17,12,18,16.667,16.167,19
2023-07-01,11,1,6,20,21,17,12,19.333,16.5,35
2023-08-01,11,1,7,19,20,21,30,20.0,17.5,20
2023-09-01,11,1,8,35,19,20,18,24.667,20.667,22
2023-10-01,11,1,9,20,35,19,13,24.667,22.0,20
2023-11-01,11,1,10,22,20,35,25,25.667,22.833,8
2023-12-01,11,1,11,20,22,20,18,20.667,22.667,16
2024-01-01,11,1,12,8,20,22,13,16.667,20.667,21
2024-02-01,11,1,1,16,8,20,16,14.667,20.167,13
2024-03-01,11,1,2,21,16,8,12,15.0,17.833,24
2024-04-01,11,1,3,13,21,16,17,16.667,16.667,21
2024-05-01,11,1,4,24,13,21,21,19.333,17.0,22
2024-06-01,11,1,5,21,24,13,20,19.333,17.167,21
2024-07-01,11,1,6,22,21,24,19,22.333,19.5,21
2024-08-01,11,1,7,21,22,21,35,21.333,20.333,14
2024-09-01,11,1,8,21,21,22,20,21.333,20.333,20
2024-10-01,11,1,9,14,21,21,22,18.667,20.5,18
2024-11-01,11,1,10,20,14,21,20,18.333,19.833,17
2024-12-01,11,1,11,18,20,14,8,17.333,19.333,18
2025-01-01,11,1,12,17,18,20,16,18.333,18.5,17
2025-02-01,11,1,1,18,17,18,21,17.667,18.0,21
2025-03-01,11,1,2,17,18,17,13,17.333,17.333,31
2025-04-01,11,1,3,21,17,18,24,18.667,18.5,12
2025-05-01,11,1,4,31,21,17,21,23.0,20.333,24
2025-06-01,11,1,5,12,31,21,22,21.333,19.333,16
2025-07-01,11,1,6,24,12,31,21,22.333,20.5,15
2025-08-01,11,1,7,16,24,12,21,17.333,20.167,19
2025-09-01,11,1,8,15,16,24,14,18.333,19.833,16
2025-10-01,11,1,9,19,15,16,20,16.667,19.5,17
2025-11-01,11,1,10,16,19,15,18,16.667,17.0,28
2025-12-01,11,1,11,17,16,19,17,17.333,17.833,19
2023-02-01,12,1,1,19,15,13,14,15.667,19.5,13
2023-03-01,12,1,2,15,19,15,17,16.333,17.833,17
2023-04-01,12,1,3,13,15,19,19,15.667,17.167,19
2023-05-01,12,1,4,17,13,15,15,15.0,15.333,17
2023-06-01,12,1,5,19,17,13,14,16.333,16.333,18
2023-07-01,12,1,6,17,19,17,21,17.667,16.667,20
2023-08-01,12,1,7,18,17,19,25,18.0,16.5,16
2023-09-01,12,1,8,20,18,17,17,18.333,17.333,18
2023-10-01,12,1,9,16,20,18,28,18.0,17.833,14
2023-11-01,12,1,10,18,16,20,13,18.0,18.0,22
2023-12-01,12,1,11,14,18,16,15,16.0,17.167,28
2024-01-01,12,1,12,22,14,18,19,18.0,18.0,18
2024-02-01,12,1,1,28,22,14,15,21.333,19.667,16
2024-03-01,12,1,2,18,28,22,13,22.667,19.333,19
2024-04-01,12,1,3,16,18,28,17,20.667,19.333,17
2024-05-01,12,1,4,19,16,18,19,17.667,19.5,19
2024-06-01,12,1,5,17,19,16,17,17.333,20.0,20
2024-07-01,12,1,6,19,17,19,18,18.333,19.5,21
2024-08-01,12,1,7,20,19,17,20,18.667,18.167,15
2024-09-01,12,1,8,21,20,19,16,20.0,18.667,21
2024-10-01,12,1,9,15,21,20,18,18.667,18.5,24
2024-11-01,12,1,10,21,15,21,14,19.0,18.833,17
2024-12-01,12,1,11,24,21,15,22,20.0,20.0,15
2025-01-01,12,1,12,17,24,21,28,20.667,19.667,18
2025-02-01,12,1,1,15,17,24,18,18.667,18.833,8
2025-03-01,12,1,2,18,15,17,16,16.667,18.333,19
2025-04-01,12,1,3,8,18,15,19,13.667,17.167,21
2025-05-01,12,1,4,19,8,18,17,15.0,16.833,19
2025-06-01,12,1,5,21,19,8,19,16.0,16.333,19
2025-07-01,12,1,6,19,21,19,20,19.667,16.667,23
2025-08-01,12,1,7,19,19,21,21,19.667,17.333,20
2025-09-01,12,1,8,23,19,19,15,20.333,18.167,16
2025-10-01,12,1,9,20,23,19,21,20.667,20.167,17
2025-11-01,12,1,10,16,20,23,24,19.667,19.667,20
2025-12-01,12,1,11,17,16,20,17,17.667,19.0,22
2023-02-01,13,1,1,20,20,22,20,20.667,18.5,11
2023-03-01,13,1,2,19,20,20,29,19.667,20.0,17
2023-04-01,13,1,3,11,19,20,14,16.667,19.0,11
2023-05-01,13,1,4,17,11,19,31,15.667,18.167,15
2023-06-01,13,1,5,11,17,11,15,13.0,16.333,20
2023-07-01,13,1,6,15,11,17,17,14.333,15.5,24
2023-08-01,13,1,7,20,15,11,10,15.333,15.5,15
2023-09-01,13,1,8,24,20,15,17,19.667,16.333,20
2023-10-01,13,1,9,15,24,20,22,19.667,17.0,17
2023-11-01,13,1,10,20,15,24,22,19.667,17.5,15
2023-12-01,13,1,11,17,20,15,20,17.333,18.5,26
2024-01-01,13,1,12,15,17,20,20,17.333,18.5,19
2024-02-01,13,1,1,26,15,17,19,19.333,19.5,21
2024-03-01,13,1,2,19,26,15,11,20.0,18.667,17
2024-04-01,13,1,3,21,19,26,17,22.0,19.667,11
2024-05-01,13,1,4,17,21,19,11,19.0,19.167,22
2024-06-01,13,1,5,11,17,21,15,16.333,18.167,23
2024-07-01,13,1,6,22,11,17,20,16.667,19.333,20
2024-08-01,13,1,7,23,22,11,24,18.667,18.833,13
2024-09-01,13,1,8,20,23,22,15,21.667,19.0,18
2024-10-01,13,1,9,13,20,23,20,18.667,17.667,20
2024-11-01,13,1,10,18,13,20,17,17.0,17.833,8
2024-12-01,13,1,11,20,18,13,15,17.0,19.333,13
2025-01-01,13,1,12,8,20,18,26,15.333,17.0,19
2025-02-01,13,1,1,13,8,20,19,13.667,15.333,12
2025-03-01,13,1,2,19,13,8,21,13.333,15.167,22
2025-04-01,13,1,3,12,19,13,17,14.667,15.0,21
2025-05-01,13,1,4,22,12,19,11,17.667,15.667,18
