crime_type_id,area_id,time_window_id,language_id,has_case_terms,has_hotspot_terms,has_network_terms,action_class
10,5,5,1,0,1,0,hotspot
8,18,3,1,0,1,0,hotspot
1,15,1,1,1,0,0,case_search
6,17,4,1,0,0,1,network
11,3,3,0,0,1,0,hotspot
11,7,0,0,0,0,1,network
11,15,4,0,0,1,0,hotspot
13,16,5,1,0,1,0,hotspot
9,7,1,0,0,1,0,hotspot
15,6,4,0,0,0,1,network
11,8,3,1,0,0,1,network
13,2,2,1,0,1,0,hotspot
12,9,1,0,0,1,0,hotspot
11,20,4,0,1,0,0,case_search
5,7,4,1,0,1,0,hotspot
5,6,1,1,0,1,0,hotspot
13,16,4,0,0,0,1,network
1,15,3,0,0,0,1,network
10,19,1,0,1,0,0,case_search
10,19,0,0,0,0,1,network
8,20,1,0,0,1,0,hotspot
11,20,2,1,0,0,1,network
13,18,4,0,0,0,1,network
15,10,3,0,1,0,0,case_search
15,20,5,0,0,1,0,hotspot
4,8,4,1,0,1,0,hotspot
12,19,5,1,1,0,0,case_search
1,3,2,1,0,1,0,hotspot
7,2,5,1,0,0,1,network
13,3,3,0,0,0,1,network
11,11,5,0,1,0,0,case_search
2,10,1,0,1,0,0,case_search
11,4,0,1,0,1,0,hotspot
7,9,3,1,0,1,0,hotspot
10,8,3,0,0,1,0,hotspot
7,13,2,1,1,0,0,case_search
10,19,5,0,0,0,1,network
10,2,4,1,0,1,0,hotspot
2,10,4,1,0,1,0,hotspot
13,11,2,0,0,0,1,network
6,19,5,1,0,1,0,hotspot
1,16,4,0,0,0,1,network
12,20,4,1,1,0,0,case_search
2,15,0,0,1,0,0,case_search
11,12,2,0,0,1,0,hotspot
2,1,5,1,0,0,1,network
3,12,2,1,0,1,0,hotspot
4,5,1,0,0,1,0,hotspot
15,14,1,0,0,1,0,hotspot
12,4,5,0,1,0,0,case_search
14,17,3,1,1,0,0,case_search
4,7,5,1,0,1,0,hotspot
9,13,1,1,0,1,0,hotspot
2,6,2,1,1,0,0,case_search
12,4,1,1,0,0,1,network
9,5,5,1,1,0,0,case_search
7,5,3,0,1,0,0,case_search
9,2,1,1,0,0,1,network
9,6,4,0,1,0,0,case_search
1,8,4,0,0,1,0,hotspot
12,11,5,1,0,0,1,network
2,11,0,0,1,0,0,case_search
11,17,3,1,1,0,0,case_search
4,9,3,0,1,0,0,case_search
7,14,2,1,1,0,0,case_search
7,15,3,1,0,1,0,hotspot
3,11,4,1,0,1,0,hotspot
14,18,2,0,0,0,1,network
8,18,1,1,1,0,0,case_search
7,1,3,1,0,0,1,network
10,18,5,0,0,0,1,network
4,12,0,1,0,1,0,hotspot
15,7,3,1,1,0,0,case_search
7,15,1,1,0,1,0,hotspot
5,3,2,0,1,0,0,case_search
10,19,0,1,0,0,1,network
7,10,5,0,1,0,0,case_search
8,11,0,0,0,0,1,network
13,3,1,0,0,1,0,hotspot
6,13,3,1,0,0,1,network
9,2,2,1,1,0,0,case_search
8,14,2,0,0,0,1,network
9,18,5,1,1,0,0,case_search
14,1,3,1,0,0,1,network
15,14,4,0,1,0,0,case_search
11,13,0,0,1,0,0,case_search
9,9,3,1,0,1,0,hotspot
1,12,2,0,1,0,0,case_search
6,9,3,0,1,0,0,case_search
4,18,2,1,0,0,1,network
2,2,4,1,1,0,0,case_search
12,1,2,0,0,1,0,hotspot
2,17,0,1,0,1,0,hotspot
11,3,2,0,0,1,0,hotspot
3,11,5,1,0,0,1,network
9,10,3,0,0,0,1,network
9,3,1,0,0,0,1,network
13,3,5,0,0,0,1,network
7,1,3,1,1,0,0,case_search
9,16,4,1,1,0,0,case_search
11,12,1,0,1,0,0,case_search
2,9,0,0,1,0,0,case_search
12,5,1,1,0,1,0,hotspot
7,2,1,0,1,0,0,case_search
12,16,1,0,0,1,0,hotspot
9,17,4,0,0,0,1,network
15,20,1,0,0,0,1,network
5,18,5,0,1,0,0,case_search
13,20,2,0,0,1,0,hotspot
2,13,4,1,0,1,0,hotspot
2,8,1,0,1,0,0,case_search
11,10,3,1,1,0,0,case_search
5,17,3,0,0,0,1,network
15,1,4,1,0,1,0,hotspot
3,14,4,1,1,0,0,case_search
14,11,0,1,0,1,0,hotspot
8,20,0,1,0,1,0,hotspot
2,19,3,0,0,1,0,hotspot
3,3,3,0,0,0,1,network
12,19,1,1,0,0,1,network
6,17,2,1,0,1,0,hotspot
11,13,0,0,1,0,0,case_search
15,15,4,1,0,0,1,network
8,1,4,1,1,0,0,case_search
6,6,2,0,1,0,0,case_search
5,9,5,0,0,1,0,hotspot
12,13,1,0,1,0,0,case_search
7,10,0,0,1,0,0,case_search
13,7,1,0,1,0,0,case_search
10,11,2,1,0,1,0,hotspot
13,7,4,0,0,0,1,network
3,6,1,0,1,0,0,case_search
6,13,1,0,0,1,0,hotspot
12,9,3,1,1,0,0,case_search
15,13,1,0,0,0,1,network
7,2,0,0,0,0,1,network
14,10,4,0,1,0,0,case_search
3,18,0,1,0,0,1,network
11,6,5,0,0,1,0,hotspot
7,11,5,1,0,0,1,network
12,7,5,0,0,0,1,network
9,1,4,0,0,0,1,network
2,16,4,1,0,1,0,hotspot
6,18,2,1,1,0,0,case_search
8,4,3,0,0,0,1,network
10,4,3,1,0,0,1,network
3,14,2,0,0,0,1,network
12,11,0,0,0,1,0,hotspot
2,4,1,1,1,0,0,case_search
7,1,2,0,0,1,0,hotspot
12,7,5,1,0,0,1,network
5,17,1,1,0,1,0,hotspot
10,3,3,0,0,0,1,network
4,16,3,1,1,0,0,case_search
10,3,2,1,1,0,0,case_search
14,5,5,1,0,1,0,hotspot
15,19,3,0,0,0,1,network
9,14,1,0,1,0,0,case_search
10,16,1,1,0,0,1,network
6,9,5,1,1,0,0,case_search
14,8,3,0,1,0,0,case_search
11,19,5,0,0,1,0,hotspot
14,20,0,1,1,0,0,case_search
11,12,4,1,1,0,0,case_search
8,4,0,1,0,1,0,hotspot
2,18,1,1,0,1,0,hotspot
8,9,1,0,0,1,0,hotspot
15,9,0,1,0,1,0,hotspot
10,1,4,1,0,1,0,hotspot
7,5,5,1,1,0,0,case_search
1,5,3,0,1,0,0,case_search
11,11,2,1,0,1,0,hotspot
4,19,5,1,0,1,0,hotspot
8,15,3,0,1,0,0,case_search
10,2,5,0,0,0,1,network
13,17,1,1,1,0,0,case_search
14,14,1,0,0,1,0,hotspot
4,5,2,1,1,0,0,case_search
6,3,4,1,0,1,0,hotspot
14,1,3,1,1,0,0,case_search
12,17,0,0,0,1,0,hotspot
13,6,2,1,0,1,0,hotspot
4,15,4,1,1,0,0,case_search
2,12,1,1,0,0,1,network
7,1,3,1,0,1,0,hotspot
15,4,0,0,0,0,1,network
13,18,3,1,1,0,0,case_search
5,2,2,0,1,0,0,case_search
8,13,1,0,1,0,0,case_search
12,7,1,0,1,0,0,case_search
13,14,2,1,0,0,1,network
7,6,0,0,0,1,0,hotspot
8,16,2,1,1,0,0,case_search
14,4,5,0,1,0,0,case_search
10,4,1,0,1,0,0,case_search
4,8,0,0,1,0,0,case_search
2,18,5,1,0,0,1,network
10,7,4,0,0,1,0,hotspot
12,3,2,1,0,0,1,network
2,18,2,0,1,0,0,case_search
5,20,0,0,0,1,0,hotspot
4,5,1,1,0,1,0,hotspot
14,13,1,1,0,0,1,network
10,12,0,1,0,0,1,network
2,7,0,1,0,0,1,network
6,13,5,1,0,1,0,hotspot
7,14,5,1,0,0,1,network
4,18,1,1,1,0,0,case_search
9,20,3,1,0,1,0,hotspot
1,15,0,0,0,0,1,network
4,2,4,0,0,0,1,network
11,14,0,0,0,1,0,hotspot
10,16,3,0,0,1,0,hotspot
3,5,1,0,0,0,1,network
13,5,4,0,0,0,1,network
1,11,2,1,1,0,0,case_search
15,5,0,0,1,0,0,case_search
1,12,5,1,1,0,0,case_search
14,8,2,0,0,1,0,hotspot
12,2,0,0,0,0,1,network
6,4,3,1,0,1,0,hotspot
11,14,5,0,0,0,1,network
6,1,0,1,0,0,1,network
2,1,3,1,0,0,1,network
13,4,2,1,0,1,0,hotspot
14,7,0,1,0,1,0,hotspot
10,17,0,1,0,1,0,hotspot
15,9,4,0,0,0,1,network
13,8,0,0,0,1,0,hotspot
15,20,2,0,1,0,0,case_search
12,19,2,0,0,0,1,network
11,17,1,1,0,0,1,network
10,13,2,1,1,0,0,case_search
6,7,3,1,0,1,0,hotspot
4,14,4,1,0,0,1,network
9,2,5,0,0,0,1,network
10,15,1,1,0,1,0,hotspot
1,13,2,1,0,0,1,network
5,9,0,0,1,0,0,case_search
8,15,4,1,1,0,0,case_search
11,18,3,1,1,0,0,case_search
13,3,0,0,0,0,1,network
3,10,1,0,0,0,1,network
11,13,4,1,0,0,1,network
9,4,4,1,0,1,0,hotspot
13,14,3,1,0,0,1,network
4,20,0,0,0,1,0,hotspot
2,3,2,1,0,1,0,hotspot
1,7,4,1,0,1,0,hotspot
5,18,0,1,0,1,0,hotspot
5,19,3,0,0,1,0,hotspot
1,17,4,0,1,0,0,case_search
10,7,4,1,1,0,0,case_search
15,6,1,1,0,0,1,network
6,18,2,0,0,0,1,network
15,17,4,0,0,0,1,network
11,18,0,0,0,1,0,hotspot
1,16,1,1,0,0,1,network
2,14,4,0,0,1,0,hotspot
13,14,2,0,0,1,0,hotspot
8,9,2,0,0,0,1,network
5,12,2,1,0,1,0,hotspot
10,8,1,1,0,0,1,network
13,5,4,0,0,0,1,network
6,11,2,0,0,0,1,network
9,1,0,0,0,0,1,network
10,8,5,1,0,0,1,network
6,19,1,1,0,1,0,hotspot
2,9,3,1,0,1,0,hotspot
8,20,4,1,0,1,0,hotspot
14,18,4,1,0,0,1,network
2,4,5,0,0,1,0,hotspot
12,17,0,1,1,0,0,case_search
6,20,0,0,1,0,0,case_search
1,13,4,1,0,1,0,hotspot
9,3,4,1,0,0,1,network
12,11,1,1,1,0,0,case_search
6,20,1,0,0,0,1,network
9,6,4,0,0,0,1,network
13,20,1,1,0,1,0,hotspot
10,19,1,0,0,0,1,network
4,19,3,0,0,0,1,network
8,11,0,1,0,1,0,hotspot
1,2,0,1,1,0,0,case_search
11,17,3,1,0,1,0,hotspot
7,3,2,1,1,0,0,case_search
2,14,4,1,0,1,0,hotspot
13,12,3,0,1,0,0,case_search
6,2,5,0,0,1,0,hotspot
4,19,2,0,1,0,0,case_search
11,11,5,0,1,0,0,case_search
10,1,4,0,0,1,0,hotspot
10,7,5,0,0,0,1,network
8,14,5,1,1,0,0,case_search
1,15,1,1,1,0,0,case_search
1,19,3,0,1,0,0,case_search
10,18,5,0,0,0,1,network
3,20,5,1,1,0,0,case_search
3,7,3,0,0,0,1,network
8,3,3,1,1,0,0,case_search
7,17,5,0,0,0,1,network
12,5,0,1,1,0,0,case_search
15,6,5,1,0,1,0,hotspot
11,6,0,0,0,1,0,hotspot
2,8,0,1,0,0,1,network
2,11,1,0,0,0,1,network
13,15,5,1,0,1,0,hotspot
14,17,4,0,0,0,1,network
2,9,4,1,0,1,0,hotspot
14,12,4,1,0,0,1,network
6,17,1,0,0,0,1,network
11,5,5,0,1,0,0,case_search
12,4,1,1,1,0,0,case_search
5,2,3,1,1,0,0,case_search
10,8,5,0,1,0,0,case_search
9,16,5,1,0,1,0,hotspot
1,16,4,0,0,1,0,hotspot
11,1,1,0,0,0,1,network
9,7,5,1,0,1,0,hotspot
13,13,2,1,0,0,1,network
15,14,4,0,0,1,0,hotspot
4,3,1,1,0,0,1,network
12,2,5,1,0,1,0,hotspot
3,14,3,1,1,0,0,case_search
6,18,3,1,0,0,1,network
13,12,5,1,0,0,1,network
6,19,4,0,0,1,0,hotspot
15,10,1,1,0,0,1,network
11,16,3,1,0,1,0,hotspot
3,5,2,1,0,1,0,hotspot
7,4,1,1,1,0,0,case_search
8,12,3,1,0,1,0,hotspot
1,16,4,0,0,1,0,hotspot
14,10,4,0,1,0,0,case_search
5,11,5,0,1,0,0,case_search
13,5,2,0,1,0,0,case_search
3,4,5,1,0,1,0,hotspot
8,1,1,1,1,0,0,case_search
10,16,5,1,1,0,0,case_search
3,15,5,0,0,1,0,hotspot
13,19,3,0,0,0,1,network
10,18,2,0,0,0,1,network
12,13,3,1,1,0,0,case_search
12,6,5,1,1,0,0,case_search
6,19,5,0,1,0,0,case_search
11,4,3,0,0,1,0,hotspot
8,4,0,0,1,0,0,case_search
3,16,5,1,1,0,0,case_search
11,7,3,0,0,0,1,network
2,13,4,0,0,0,1,network
14,11,1,0,0,0,1,network
6,2,4,1,0,0,1,network
2,7,3,0,0,0,1,network
7,1,4,0,0,0,1,network
1,17,0,1,1,0,0,case_search
8,15,3,1,1,0,0,case_search
4,1,4,0,1,0,0,case_search
1,12,0,0,0,1,0,hotspot
8,12,2,1,0,0,1,network
11,19,4,0,0,1,0,hotspot
13,14,2,0,0,1,0,hotspot
10,2,3,0,0,1,0,hotspot
5,17,5,1,0,1,0,hotspot
12,5,5,0,0,1,0,hotspot
14,18,4,1,1,0,0,case_search
6,13,1,0,1,0,0,case_search
8,18,5,0,0,1,0,hotspot
9,10,1,1,1,0,0,case_search
9,16,1,0,1,0,0,case_search
7,7,1,0,0,1,0,hotspot
5,20,3,0,0,1,0,hotspot
3,2,5,0,1,0,0,case_search
4,6,4,1,0,0,1,network
8,20,0,1,0,1,0,hotspot
11,14,0,0,0,1,0,hotspot
4,20,3,0,0,1,0,hotspot
5,18,0,0,0,0,1,network
8,5,4,1,0,1,0,hotspot
5,9,0,0,0,0,1,network
6,9,3,1,0,1,0,hotspot
10,7,2,0,0,1,0,hotspot
6,18,0,0,1,0,0,case_search
12,12,0,0,1,0,0,case_search
14,15,2,1,1,0,0,case_search
3,12,3,1,0,1,0,hotspot
4,15,4,1,1,0,0,case_search
7,13,5,1,0,0,1,network
5,12,5,1,0,0,1,network
2,13,5,0,0,0,1,network
15,17,5,0,0,0,1,network
1,7,0,0,0,1,0,hotspot
5,1,5,1,0,1,0,hotspot
13,13,3,0,0,1,0,hotspot
3,20,1,1,1,0,0,case_search
6,13,5,0,1,0,0,case_search
7,6,4,0,0,1,0,hotspot
10,3,2,1,1,0,0,case_search
13,19,5,1,1,0,0,case_search
3,18,4,0,1,0,0,case_search
2,3,2,1,0,1,0,hotspot
10,18,1,1,1,0,0,case_search
11,19,2,1,0,1,0,hotspot
5,9,2,1,0,0,1,network
1,18,0,0,0,1,0,hotspot
13,9,0,0,0,1,0,hotspot
11,19,3,0,0,1,0,hotspot
2,9,0,0,0,0,1,network
5,6,4,1,1,0,0,case_search
15,17,3,0,1,0,0,case_search
12,9,4,1,0,0,1,network
7,4,2,1,0,1,0,hotspot
13,15,4,0,1,0,0,case_search
8,2,1,0,0,0,1,network
2,5,1,1,0,1,0,hotspot
10,9,0,1,1,0,0,case_search
15,20,0,1,0,0,1,network
13,2,1,1,0,1,0,hotspot
9,3,4,0,1,0,0,case_search
15,15,5,0,0,0,1,network
13,11,4,0,0,0,1,network
3,17,4,0,1,0,0,case_search
6,19,5,1,1,0,0,case_search
5,20,0,0,1,0,0,case_search
14,3,3,1,0,1,0,hotspot
11,2,0,1,0,1,0,hotspot
6,2,2,1,0,1,0,hotspot
5,11,5,0,0,1,0,hotspot
5,13,5,1,0,0,1,network
5,7,2,0,1,0,0,case_search
12,8,5,0,0,1,0,hotspot
5,2,2,0,0,0,1,network
14,5,0,0,0,0,1,network
5,3,5,1,1,0,0,case_search
15,11,3,1,0,0,1,network
3,3,0,0,0,1,0,hotspot
6,14,1,1,0,1,0,hotspot
5,11,1,1,0,0,1,network
3,12,4,1,0,0,1,network
10,2,0,1,1,0,0,case_search
8,10,2,0,0,0,1,network
2,11,3,1,0,0,1,network
4,14,3,0,1,0,0,case_search
10,8,4,0,1,0,0,case_search
2,16,2,1,1,0,0,case_search
12,13,4,0,0,0,1,network
6,5,0,1,1,0,0,case_search
4,20,0,1,0,1,0,hotspot
1,19,5,1,0,0,1,network
10,14,4,0,0,0,1,network
12,13,5,1,0,1,0,hotspot
4,15,1,1,1,0,0,case_search
13,15,5,0,0,1,0,hotspot
13,8,4,1,1,0,0,case_search
7,10,5,0,1,0,0,case_search
1,17,0,0,0,0,1,network
8,16,1,1,0,1,0,hotspot
5,4,3,1,0,1,0,hotspot
3,20,5,0,0,0,1,network
14,8,0,0,0,1,0,hotspot
7,11,4,0,0,1,0,hotspot
7,8,5,1,0,1,0,hotspot
15,18,2,0,0,0,1,network
11,17,4,0,1,0,0,case_search
9,12,3,1,1,0,0,case_search
11,9,0,1,1,0,0,case_search
3,12,0,1,1,0,0,case_search
4,11,5,0,0,0,1,network
6,7,5,0,1,0,0,case_search
14,18,3,0,0,0,1,network
3,4,5,0,1,0,0,case_search
9,5,0,1,0,1,0,hotspot
11,3,0,0,0,0,1,network
12,9,1,0,0,0,1,network
8,7,3,1,1,0,0,case_search
2,4,0,0,0,1,0,hotspot
1,1,5,0,1,0,0,case_search
2,17,3,0,0,0,1,network
5,2,3,1,0,0,1,network
12,7,5,0,1,0,0,case_search
15,12,3,1,1,0,0,case_search
11,14,3,1,0,1,0,hotspot
14,4,0,1,1,0,0,case_search
8,12,5,1,0,0,1,network
10,16,2,1,0,0,1,network
9,13,4,0,0,1,0,hotspot
14,7,4,1,1,0,0,case_search
5,7,2,1,0,0,1,network
13,10,5,1,1,0,0,case_search
14,1,1,1,0,1,0,hotspot
1,6,2,0,0,0,1,network
10,11,4,0,0,1,0,hotspot
1,15,0,1,0,0,1,network
6,6,5,0,0,1,0,hotspot
11,3,1,1,0,1,0,hotspot
6,20,2,0,0,1,0,hotspot
1,19,0,0,1,0,0,case_search
9,9,2,1,0,0,1,network
7,6,4,1,1,0,0,case_search
11,3,1,0,0,1,0,hotspot
15,8,1,0,1,0,0,case_search
4,12,3,0,1,0,0,case_search
11,7,3,0,1,0,0,case_search
2,5,0,1,0,1,0,hotspot
10,11,5,0,0,1,0,hotspot
15,12,3,1,1,0,0,case_search
5,12,0,0,1,0,0,case_search
11,11,0,0,1,0,0,case_search
4,12,1,0,0,1,0,hotspot
15,16,4,0,0,1,0,hotspot
6,11,0,0,1,0,0,case_search
13,4,3,1,0,0,1,network
4,5,5,1,0,1,0,hotspot
9,3,2,1,1,0,0,case_search
7,19,2,0,0,1,0,hotspot
11,1,5,1,1,0,0,case_search
12,16,4,0,1,0,0,case_search
1,5,4,1,0,0,1,network
1,20,5,0,1,0,0,case_search
9,7,3,1,1,0,0,case_search
14,4,5,1,1,0,0,case_search
4,17,4,1,0,0,1,network
15,5,2,0,0,0,1,network
10,2,4,0,0,1,0,hotspot
14,17,5,0,0,1,0,hotspot
10,7,0,0,1,0,0,case_search
5,17,4,0,0,1,0,hotspot
4,1,1,1,0,1,0,hotspot
10,6,1,1,0,0,1,network
10,7,4,0,0,1,0,hotspot
3,16,2,0,1,0,0,case_search
14,17,2,1,0,1,0,hotspot
1,4,0,0,0,0,1,network
7,6,0,0,0,1,0,hotspot
4,7,3,1,0,0,1,network
11,5,0,0,1,0,0,case_search
8,6,0,0,0,1,0,hotspot
6,3,1,1,1,0,0,case_search
9,11,1,0,1,0,0,case_search
15,14,0,0,1,0,0,case_search
7,14,0,1,1,0,0,case_search
10,5,4,0,0,1,0,hotspot
6,1,5,1,0,1,0,hotspot
1,6,1,1,0,1,0,hotspot
11,10,1,1,1,0,0,case_search
14,12,1,1,0,1,0,hotspot
13,19,0,0,0,0,1,network
1,14,3,1,0,0,1,network
6,17,3,1,0,1,0,hotspot
6,11,0,0,0,1,0,hotspot
2,1,3,0,1,0,0,case_search
15,7,4,1,0,1,0,hotspot
10,5,2,0,1,0,0,case_search
10,15,0,0,1,0,0,case_search
8,18,2,1,0,1,0,hotspot
15,16,5,1,0,1,0,hotspot
4,18,2,1,1,0,0,case_search
12,1,4,0,1,0,0,case_search
15,14,1,0,0,1,0,hotspot
14,19,1,0,0,0,1,network
7,12,4,1,0,1,0,hotspot
10,6,5,0,0,1,0,hotspot
15,2,4,0,0,1,0,hotspot
5,13,3,0,0,1,0,hotspot
2,17,2,1,0,0,1,network
15,18,4,1,1,0,0,case_search
15,14,2,1,0,1,0,hotspot
3,5,0,0,0,0,1,network
11,4,0,1,0,0,1,network
7,16,0,0,1,0,0,case_search
7,18,2,0,0,1,0,hotspot
12,10,0,0,0,0,1,network
4,6,1,1,0,0,1,network
7,2,4,0,0,1,0,hotspot
1,9,5,1,0,1,0,hotspot
15,13,4,0,0,0,1,network
10,4,3,0,1,0,0,case_search
4,16,3,0,1,0,0,case_search
8,16,5,1,1,0,0,case_search
10,4,1,0,1,0,0,case_search
1,18,0,0,1,0,0,case_search
1,8,3,1,0,1,0,hotspot
5,2,5,1,1,0,0,case_search
12,9,5,1,0,0,1,network
10,4,1,0,0,0,1,network
14,6,3,0,0,1,0,hotspot
10,13,3,0,1,0,0,case_search
6,15,4,0,1,0,0,case_search
12,12,5,0,0,1,0,hotspot
3,11,4,1,1,0,0,case_search
1,19,1,0,0,0,1,network
1,4,1,1,0,1,0,hotspot
12,11,4,1,1,0,0,case_search
3,9,3,0,0,0,1,network
8,20,0,0,0,1,0,hotspot
2,16,2,0,1,0,0,case_search
15,13,3,1,1,0,0,case_search
11,17,0,0,1,0,0,case_search
15,9,5,1,1,0,0,case_search
10,5,4,1,0,0,1,network
11,2,5,1,0,0,1,network
14,13,3,1,0,0,1,network
7,8,3,1,0,1,0,hotspot
4,2,5,0,1,0,0,case_search
1,8,5,1,0,1,0,hotspot
3,6,5,1,0,0,1,network
7,15,3,1,0,0,1,network
9,16,0,0,0,0,1,network
11,19,1,1,0,1,0,hotspot
3,15,5,0,1,0,0,case_search
9,15,5,0,0,0,1,network
5,10,4,0,0,1,0,hotspot
5,20,0,0,0,1,0,hotspot
15,3,3,0,0,1,0,hotspot
1,18,3,0,0,1,0,hotspot
4,17,5,1,0,1,0,hotspot
13,4,1,1,0,1,0,hotspot
14,12,5,0,1,0,0,case_search
14,6,3,1,1,0,0,case_search
2,3,0,1,1,0,0,case_search
1,8,2,0,0,0,1,network
2,10,0,1,1,0,0,case_search
5,15,1,1,0,1,0,hotspot
11,11,0,0,0,0,1,network
10,19,3,0,1,0,0,case_search
2,16,4,0,0,1,0,hotspot
13,8,1,0,0,1,0,hotspot
13,5,4,1,0,0,1,network
3,20,3,1,0,0,1,network
13,2,1,1,1,0,0,case_search
15,3,4,0,0,1,0,hotspot
14,12,4,0,0,1,0,hotspot
11,9,5,0,0,1,0,hotspot
11,4,3,0,0,0,1,network
6,14,4,0,0,0,1,network
14,12,0,1,0,0,1,network
1,9,3,1,0,1,0,hotspot
5,8,2,1,0,0,1,network
3,6,4,1,1,0,0,case_search
3,7,1,1,0,1,0,hotspot
8,12,4,1,0,0,1,network
10,5,1,0,1,0,0,case_search
4,12,1,1,0,0,1,network
2,6,0,0,1,0,0,case_search
8,9,1,0,1,0,0,case_search
15,17,5,1,0,0,1,network
4,6,0,1,0,1,0,hotspot
1,3,0,0,1,0,0,case_search
8,17,5,1,0,1,0,hotspot
7,18,2,1,0,1,0,hotspot
5,7,2,0,0,1,0,hotspot
4,16,0,0,0,0,1,network
4,8,4,0,0,1,0,hotspot
4,1,5,1,1,0,0,case_search
5,13,1,1,0,1,0,hotspot
11,18,1,1,0,1,0,hotspot
9,15,0,1,0,1,0,hotspot
5,6,0,1,0,0,1,network
13,13,4,0,1,0,0,case_search
1,2,5,0,0,1,0,hotspot
13,2,5,0,1,0,0,case_search
13,10,1,1,0,1,0,hotspot
15,6,2,0,0,1,0,hotspot
12,11,4,1,0,1,0,hotspot
6,3,1,1,0,0,1,network
2,11,5,1,1,0,0,case_search
3,18,1,0,0,1,0,hotspot
6,9,4,1,0,1,0,hotspot
5,16,0,0,0,1,0,hotspot
1,20,2,1,0,1,0,hotspot
14,20,4,0,0,0,1,network
11,10,2,0,0,0,1,network
6,3,5,1,1,0,0,case_search
3,14,2,0,1,0,0,case_search
9,1,3,0,1,0,0,case_search
14,8,5,0,1,0,0,case_search
8,9,5,0,1,0,0,case_search
5,13,4,1,0,0,1,network
10,1,1,0,1,0,0,case_search
12,16,0,1,1,0,0,case_search
15,11,1,1,1,0,0,case_search
14,13,1,1,0,0,1,network
9,19,3,1,0,1,0,hotspot
2,15,0,0,1,0,0,case_search
6,7,1,0,1,0,0,case_search
10,3,5,0,0,0,1,network
13,2,0,0,1,0,0,case_search
3,18,4,0,0,0,1,network
11,16,1,1,0,0,1,network
6,2,0,1,1,0,0,case_search
6,18,2,0,0,0,1,network
8,13,1,0,0,0,1,network
9,20,2,1,1,0,0,case_search
4,7,1,1,0,0,1,network
15,11,1,1,0,1,0,hotspot
13,4,1,1,1,0,0,case_search
10,5,1,0,0,0,1,network
15,15,2,1,0,1,0,hotspot
1,11,2,1,0,1,0,hotspot
4,15,4,0,0,0,1,network
8,15,5,0,0,1,0,hotspot
8,10,0,1,1,0,0,case_search
10,17,2,1,0,1,0,hotspot
2,11,0,1,0,1,0,hotspot
4,6,4,0,0,1,0,hotspot
6,16,3,0,1,0,0,case_search
4,11,4,0,0,0,1,network
7,9,4,0,1,0,0,case_search
3,3,0,0,0,0,1,network
2,8,1,1,0,0,1,network
4,15,3,0,0,1,0,hotspot
