target_month,station_id,district_id,month_number,current_count,lag_1,lag_2,lag_3,lag_12,rolling_mean_6,rolling_mean_12,rolling_std_12,anomaly_class
2024-12-01,22,1,12,28,19,14,16,18,17.167,16.833,3.298,1
2024-03-01,2,1,3,7,7,17,13,15,14.5,18.333,5.821,0
2024-12-01,118,4,12,12,8,5,2,7,5.333,6.25,2.379,1
2023-03-01,16,1,3,25,17,21,11,16,15.5,16.833,3.129,1
2025-07-01,16,1,7,27,11,20,24,16,19.0,18.75,4.093,1
2023-05-01,42,1,5,14,12,23,14,13,18.167,18.75,6.151,0
2025-03-01,32,1,3,17,16,21,16,13,17.667,18.0,4.134,0
2024-02-01,69,1,2,21,19,22,18,18,19.333,19.667,2.902,0
2024-12-01,38,1,12,21,14,18,17,22,18.0,18.833,3.486,0
2025-06-01,47,1,6,27,15,13,18,26,17.5,18.5,4.079,1
2024-10-01,156,8,10,13,7,6,11,9,7.167,7.167,2.443,1
2023-01-01,159,9,1,12,6,6,6,6,6.333,6.083,1.676,1
2024-09-01,74,1,9,19,21,14,21,19,18.833,19.083,3.175,0
2025-01-01,72,1,1,20,22,16,10,17,16.667,16.833,4.529,0
2025-01-01,35,1,1,31,21,12,22,20,19.5,20.75,4.938,1
2024-05-01,163,9,5,5,2,7,12,11,6.333,6.583,3.029,0
2024-05-01,155,8,5,12,4,6,7,10,6.167,7.417,2.314,0
2023-12-01,119,4,12,6,4,9,9,3,7.833,7.0,2.256,0
2023-11-01,89,1,11,30,26,17,21,18,21.667,21.667,2.995,1
2023-08-01,104,2,8,1,10,6,13,6,9.333,9.25,3.223,0
2024-05-01,136,6,5,9,8,2,8,4,7.5,7.583,2.61,0
2025-10-01,98,1,10,26,16,9,20,11,16.167,16.667,4.774,0
2023-11-01,145,7,11,8,12,7,6,7,8.5,7.5,2.393,0
2024-04-01,158,9,4,10,8,6,8,4,6.667,6.0,1.706,1
2024-10-01,44,1,10,17,13,18,12,19,17.167,17.417,3.919,0
2025-11-01,24,1,11,17,18,16,21,18,18.333,18.917,2.314,0
2025-01-01,62,1,1,29,12,13,16,21,15.167,16.833,3.95,1
2023-03-01,149,8,3,13,7,6,12,7,7.5,6.833,2.038,1
2023-12-01,112,3,12,4,6,5,9,6,6.167,6.667,2.015,0
2023-06-01,17,1,6,19,18,28,26,18,21.0,20.833,4.821,0
2024-09-01,90,1,9,19,22,13,23,16,21.333,19.083,6.037,0
2024-10-01,59,1,10,32,12,17,16,22,15.667,17.417,3.965,1
2024-01-01,144,7,1,8,11,9,9,12,9.0,9.417,3.965,0
2024-10-01,3,1,10,13,18,24,19,25,19.667,19.083,2.746,0
2023-07-01,85,1,7,14,14,8,15,20,15.833,16.75,4.093,0
2024-12-01,102,2,12,9,4,9,2,5,6.0,6.333,2.934,0
2025-11-01,54,1,11,19,13,20,26,17,18.667,20.333,4.185,0
2023-07-01,110,3,7,13,7,12,3,6,5.833,6.25,2.832,1
2024-06-01,136,6,6,6,9,8,2,8,7.5,8.0,2.374,0
2023-05-01,2,1,5,21,27,15,13,14,18.667,18.083,4.776,0
2023-03-01,154,8,3,2,12,8,6,7,7.0,6.917,2.234,0
2024-11-01,65,1,11,18,14,20,22,20,18.833,19.083,4.852,0
2023-09-01,48,1,9,13,18,11,23,19,17.667,17.5,3.425,0
2023-03-01,8,1,3,19,15,16,17,23,17.667,19.583,4.833,0
2023-12-01,162,9,12,14,5,4,9,9,6.0,5.75,2.137,1
2024-09-01,70,1,9,26,22,21,12,21,19.0,21.417,4.795,0
2023-07-01,158,9,7,3,7,7,4,3,5.833,6.25,2.05,0
2023-06-01,114,3,6,15,5,9,8,5,7.333,6.5,2.78,1
2023-01-01,121,4,1,10,4,10,10,5,8.833,7.083,3.204,0
2024-04-01,114,3,4,13,5,3,4,9,4.833,6.083,3.232,1
2025-04-01,26,1,4,28,23,13,23,19,18.0,18.167,3.129,1
2024-01-01,141,7,1,13,6,7,9,1,6.667,5.917,2.746,1
2023-08-01,48,1,8,18,11,23,19,17,18.167,17.417,3.423,0
2025-08-01,27,1,8,24,20,21,20,16,18.0,17.417,2.778,1
2024-12-01,60,1,12,24,19,17,21,19,17.667,17.667,3.055,1
2024-05-01,127,5,5,10,6,6,5,6,5.167,6.333,1.775,1
2025-08-01,13,1,8,19,24,20,18,13,19.5,17.333,4.774,0
2023-04-01,44,1,4,15,14,21,26,14,21.5,19.333,4.755,0
2025-09-01,57,1,9,10,19,14,21,19,16.833,17.25,2.667,0
2025-12-01,61,1,12,22,22,11,11,16,17.833,17.083,4.1,0
2024-03-01,108,2,3,11,8,3,2,7,6.167,7.0,2.663,0
2024-12-01,91,1,12,24,14,25,22,19,20.667,18.25,4.789,0
2024-09-01,44,1,9,13,18,12,23,16,17.667,17.667,3.701,0
2025-04-01,27,1,4,15,16,16,13,18,17.0,17.583,2.61,0
2023-11-01,8,1,11,19,23,16,15,28,18.667,19.5,4.602,0
2023-07-01,114,3,7,4,15,5,9,8,7.667,7.333,3.651,0
2023-02-01,154,8,2,12,8,6,4,10,5.667,6.75,1.865,1
2024-06-01,68,1,6,21,17,30,25,8,19.333,19.667,6.555,0
2023-09-01,60,1,9,11,13,14,22,17,16.167,17.667,3.601,0
2024-02-01,5,1,2,20,18,22,20,17,17.167,17.417,3.315,0
2023-01-01,21,1,1,20,25,23,19,16,21.167,20.75,3.388,0
2024-04-01,46,1,4,17,22,13,21,16,19.0,17.583,3.147,0
2025-03-01,68,1,3,27,20,18,20,25,17.833,18.917,5.282,0
2024-08-01,123,4,8,8,11,8,9,5,7.167,7.75,2.667,0
2023-08-01,139,6,8,6,12,5,12,4,8.0,7.083,3.059,0
2023-06-01,7,1,6,24,20,22,19,16,20.667,19.75,3.571,0
2025-03-01,7,1,3,23,12,18,15,20,17.333,18.167,4.324,0
2025-08-01,148,7,8,6,3,2,12,12,5.5,6.25,3.166,0
2023-06-01,98,1,6,25,17,16,16,21,17.5,18.667,3.055,1
2023-01-01,151,8,1,11,7,7,3,9,6.167,6.167,1.749,1
2025-11-01,113,3,11,11,11,6,7,4,7.167,6.25,2.379,0
2025-08-01,72,1,8,21,21,24,23,17,18.667,18.167,4.783,0
2025-10-01,50,1,10,25,18,9,28,10,20.0,19.333,7.266,0
2023-03-01,67,1,3,23,26,20,25,15,21.167,20.583,5.213,0
2025-03-01,87,1,3,23,18,18,19,19,18.0,18.667,5.483,0
2023-06-01,33,1,6,17,21,22,19,19,20.333,19.417,3.965,0
2024-02-01,11,1,2,13,21,16,8,12,17.833,19.25,6.454,0
2024-05-01,159,9,5,5,12,4,8,7,7.167,6.917,2.712,0
2024-12-01,127,5,12,4,8,9,12,5,8.167,7.167,2.443,0
2025-04-01,94,1,4,20,19,13,11,22,16.0,17.5,6.474,0
2023-11-01,152,8,11,4,8,5,7,6,5.333,5.75,2.05,0
2023-09-01,136,6,9,12,9,6,8,3,7.833,6.917,2.466,1
2024-08-01,122,4,8,15,6,2,7,5,5.333,7.417,3.37,1
2023-02-01,33,1,2,24,22,14,21,20,18.0,19.667,4.334,0
2024-07-01,148,7,7,4,8,4,6,8,6.0,5.417,2.021,0
2024-05-01,6,1,5,31,15,21,23,11,20.667,18.417,4.738,1
2023-10-01,84,1,10,26,15,13,20,15,16.833,16.667,3.774,1
2025-12-01,155,8,12,12,5,8,5,7,7.0,6.75,1.865,1
2023-06-01,52,1,6,18,21,11,19,24,15.667,16.833,3.786,0
2023-07-01,46,1,7,19,13,15,16,19,17.0,18.167,3.271,0
2023-10-01,149,8,10,7,0,9,7,6,5.5,7.0,3.33,0
2024-03-01,121,4,3,6,9,6,10,7,7.0,6.583,1.832,0
2024-06-01,131,5,6,9,10,11,10,3,10.333,7.833,3.243,0
2024-07-01,37,1,7,20,22,18,20,17,18.833,19.083,2.61,0
2023-12-01,156,8,12,12,5,9,8,6,7.167,7.167,2.125,1
2024-07-01,8,1,7,17,17,18,17,23,21.5,21.083,5.368,0
2024-01-01,48,1,1,20,26,15,18,15,16.833,17.833,4.428,0
2023-02-01,23,1,2,19,16,19,16,21,18.5,19.0,3.931,0
2023-03-01,94,1,3,10,19,11,17,11,17.333,15.833,3.563,0
2025-07-01,120,4,7,7,3,12,7,4,7.667,7.0,2.86,0
2024-02-01,128,5,2,13,10,4,6,5,7.667,7.0,2.763,1
2023-03-01,161,9,3,4,12,7,10,6,10.333,8.5,2.431,0
2025-02-01,152,8,2,3,8,7,10,6,8.5,6.75,3.166,0
2025-07-01,76,1,7,26,18,17,21,19,20.833,20.667,2.57,1
2024-05-01,63,1,5,19,21,18,15,24,17.667,17.917,5.265,0
2024-08-01,24,1,8,13,18,18,14,17,17.167,17.833,2.823,0
2025-08-01,1,1,8,22,30,24,27,19,24.5,21.917,5.23,0
2025-10-01,89,1,10,19,22,30,23,24,24.0,21.25,4.975,0
2025-12-01,1,1,12,19,19,22,20,16,22.833,21.833,4.174,0
2023-01-01,74,1,1,19,12,22,19,22,18.833,18.583,4.944,0
2024-12-01,81,1,12,18,11,19,23,17,16.5,17.167,4.687,0
2023-04-01,134,6,4,8,10,3,11,6,7.833,6.917,2.937,0
2024-05-01,90,1,5,32,13,25,16,11,17.667,17.083,4.87,1
2025-12-01,79,1,12,25,22,19,14,20,19.333,18.333,3.312,1
2024-04-01,130,5,4,11,5,9,7,5,7.5,6.75,1.658,1
2024-04-01,75,1,4,17,12,13,17,15,17.0,18.5,5.776,0
2024-05-01,11,1,5,22,21,24,13,20,17.167,19.917,6.445,0
2024-01-01,143,7,1,10,8,7,12,3,8.5,6.667,3.172,0
2025-01-01,61,1,1,15,16,31,27,20,19.333,19.75,5.77,0
2024-09-01,119,4,9,8,5,6,8,9,7.167,6.667,2.27,0
2024-02-01,98,1,2,13,30,27,13,15,19.667,18.917,5.485,0
2025-02-01,31,1,2,26,24,18,12,18,18.0,17.583,3.965,1
2023-07-01,47,1,7,18,15,19,21,10,18.333,17.25,5.879,0
2025-01-01,163,9,1,2,8,8,2,7,6.5,6.917,3.175,0
2023-07-01,133,6,7,14,7,10,4,5,7.333,7.0,2.663,1
2025-06-01,55,1,6,21,26,24,21,20,20.667,19.25,3.279,0
2023-02-01,4,1,2,19,26,10,16,21,17.5,18.167,4.668,0
2025-03-01,54,1,3,25,21,24,19,21,20.833,18.833,3.95,0
2025-05-01,52,1,5,24,17,21,19,17,19.167,19.583,2.151,1
2025-01-01,102,2,1,14,9,4,9,7,6.333,6.667,2.995,1
2023-09-01,150,8,9,10,3,8,11,6,6.5,5.917,2.778,0
2023-02-01,39,1,2,14,19,18,17,18,17.333,19.417,3.204,0
2025-08-01,92,1,8,26,10,19,17,20,17.0,18.667,3.284,1
2024-10-01,78,1,10,18,19,23,16,20,17.5,19.833,4.529,0
2024-10-01,4,1,10,16,14,17,14,18,17.167,17.583,4.122,0
2024-11-01,119,4,11,13,6,8,5,4,6.667,6.333,2.06,1
2023-10-01,128,5,10,13,5,8,10,6,6.667,6.417,1.676,1
2024-06-01,17,1,6,26,17,17,18,19,17.333,17.917,2.575,1
2025-06-01,89,1,6,28,23,18,18,13,18.333,18.833,4.041,1
2025-07-01,31,1,7,14,14,11,9,18,16.167,16.583,5.089,0
2023-07-01,116,3,7,5,10,1,5,5,6.333,6.167,2.517,0
2023-10-01,145,7,10,12,7,6,7,6,7.833,7.0,1.954,1
2023-01-01,17,1,1,22,18,19,15,20,20.667,18.583,4.379,0
2024-06-01,9,1,6,11,10,27,21,17,20.5,18.75,5.029,0
2023-04-01,129,5,4,4,6,4,6,11,6.167,6.5,2.355,0
2023-04-01,164,9,4,2,4,6,9,11,5.0,6.167,3.01,0
2025-06-01,50,1,6,29,19,17,18,6,18.667,17.667,6.443,0
2023-02-01,138,6,2,11,5,10,9,6,7.5,6.333,2.27,1
2023-03-01,144,7,3,14,11,12,2,4,7.333,6.917,2.875,1
2023-09-01,82,1,9,14,15,26,15,21,17.833,18.5,4.622,0
2024-01-01,11,1,1,21,16,8,20,16,20.167,18.833,6.492,0
2025-08-01,24,1,8,21,21,16,18,13,19.333,19.0,2.985,0
2025-10-01,46,1,10,16,21,19,20,14,20.833,18.083,4.66,0
2023-07-01,113,3,7,8,3,11,5,9,6.0,6.5,2.78,0
2023-07-01,142,7,7,8,7,3,10,7,5.833,6.0,2.73,0
2025-06-01,94,1,6,22,17,20,19,15,16.833,16.917,6.201,0
2024-03-01,100,1,3,26,24,24,15,16,17.833,17.5,3.989,1
2023-10-01,160,9,10,7,2,6,5,13,6.167,6.833,2.657,0
2025-07-01,39,1,7,15,14,21,21,18,17.667,17.667,3.229,0
2025-04-01,74,1,4,16,17,20,13,19,16.333,17.25,3.72,0
2024-01-01,46,1,1,21,22,19,17,19,18.5,17.75,2.454,0
2023-08-01,20,1,8,17,24,11,19,22,18.667,18.5,4.7,0
2023-12-01,48,1,12,26,15,18,13,15,16.333,16.917,3.655,1
2024-06-01,31,1,6,18,11,24,14,21,18.5,18.0,4.918,0
2025-04-01,8,1,4,21,15,16,14,17,18.167,18.0,2.828,0
2025-05-01,35,1,5,17,21,15,15,26,19.167,20.333,5.466,0
2025-01-01,51,1,1,21,14,19,19,17,21.167,19.417,4.641,0
2024-09-01,122,4,9,10,15,6,2,12,6.667,8.25,3.911,0
2025-04-01,14,1,4,25,24,15,20,22,17.0,17.333,4.313,0
2025-09-01,148,7,9,11,6,3,2,4,5.5,5.75,2.598,1
2023-01-01,79,1,1,23,16,13,19,16,18.167,18.583,3.872,0
2025-10-01,35,1,10,26,18,8,17,22,16.667,18.0,5.721,0
2023-05-01,139,6,5,12,7,4,8,10,6.0,6.167,2.517,1
2023-12-01,28,1,12,26,15,17,17,13,16.333,17.0,4.178,1
2023-11-01,88,1,11,24,19,12,15,23,16.833,18.333,3.114,0
2023-05-01,74,1,5,15,18,20,22,16,18.833,18.583,3.528,0
2024-01-01,39,1,1,13,19,15,18,19,18.0,17.917,3.26,0
2024-11-01,74,1,11,10,16,19,21,20,17.667,18.833,3.298,0
2024-02-01,132,5,2,3,8,3,6,6,6.667,6.583,2.109,0
2023-09-01,145,7,9,7,6,7,9,11,7.833,7.333,2.27,0
2024-02-01,130,5,2,9,7,9,9,10,6.833,6.917,1.73,0
2024-11-01,98,1,11,25,11,19,21,13,18.167,19.5,5.568,0
2023-03-01,132,5,3,9,6,9,10,10,6.667,7.5,2.576,0
2025-11-01,139,6,11,10,6,8,9,7,7.667,7.583,2.314,0
2023-12-01,139,6,12,8,5,12,4,7,7.333,7.167,3.186,0
2024-01-01,71,1,1,23,19,20,22,29,19.333,21.083,4.295,0
2025-05-01,46,1,5,28,17,12,12,14,15.833,16.0,4.221,1
2025-07-01,74,1,7,31,13,20,16,14,16.5,16.75,3.745,1
2024-09-01,30,1,9,20,29,16,18,19,19.167,18.667,4.075,0
2024-08-01,46,1,8,15,15,13,14,18,15.667,17.25,3.251,0
2023-07-01,156,8,7,3,9,9,10,7,7.667,7.167,1.899,0
2024-02-01,30,1,2,23,16,14,21,16,19.333,18.333,5.28,0
2023-03-01,136,6,3,12,5,9,6,8,6.0,6.583,2.109,1
2024-07-01,144,7,7,3,8,3,8,1,6.167,7.583,3.801,0
2023-09-01,9,1,9,16,14,18,17,23,17.667,18.333,4.119,0
2024-08-01,141,7,8,7,9,8,5,8,7.333,7.5,2.844,0
2025-12-01,36,1,12,21,16,21,14,14,16.333,16.667,3.939,0
2025-05-01,78,1,5,25,19,19,8,13,16.0,16.333,4.163,1
2024-10-01,152,8,10,15,5,6,6,8,5.167,5.583,1.443,1
2023-06-01,78,1,6,19,14,22,15,14,17.333,17.083,3.965,0
2024-01-01,80,1,1,24,8,16,17,15,16.167,16.333,3.701,1
2023-05-01,107,2,5,6,7,8,4,11,5.5,6.75,2.768,0
2025-08-01,54,1,8,26,16,19,18,12,20.833,20.083,4.078,0
2024-12-01,8,1,12,18,24,22,18,28,19.667,21.5,5.018,0
2025-07-01,79,1,7,24,16,17,15,18,16.667,16.5,2.68,1
2024-05-01,153,8,5,8,4,6,5,6,5.5,6.25,1.485,0
2023-11-01,15,1,11,20,21,23,17,15,21.0,19.167,4.783,0
2025-05-01,120,4,5,12,7,5,11,4,7.0,6.917,2.466,1
2023-03-01,159,9,3,6,9,12,6,8,7.333,6.833,2.48,0
2023-01-01,144,7,1,12,2,8,5,10,6.167,6.25,2.261,1
2023-11-01,38,1,11,15,20,16,14,16,18.667,20.25,4.975,0
2023-11-01,128,5,11,6,13,5,8,8,8.167,7.0,2.523,0
2024-07-01,100,1,7,17,13,21,25,18,22.167,18.75,5.345,0
2024-08-01,113,3,8,1,5,5,3,7,5.167,5.583,2.353,0
2025-07-01,67,1,7,26,19,27,10,20,20.167,20.833,5.491,0
2025-02-01,143,7,2,6,4,8,8,7,7.167,7.417,3.147,0
2024-01-01,22,1,1,23,18,20,17,22,18.833,18.25,3.415,0
2023-08-01,101,2,8,7,7,4,11,6,6.833,5.75,2.491,0
2023-06-01,64,1,6,16,21,17,20,20,17.833,17.917,4.316,0
2023-12-01,104,2,12,7,7,11,7,5,7.0,8.0,3.618,0
2025-11-01,153,8,11,7,5,7,9,9,6.167,6.5,3.09,0
2023-01-01,23,1,1,16,19,16,18,18,18.667,19.167,3.834,0
2024-03-01,92,1,3,18,19,25,27,19,20.0,19.5,4.442,0
2024-07-01,64,1,7,20,21,19,17,12,17.167,18.083,3.848,0
2025-12-01,130,5,12,10,12,8,5,8,6.333,7.167,2.855,0
2025-03-01,127,5,3,9,4,6,4,6,7.167,7.083,2.575,0
2025-06-01,42,1,6,14,10,16,19,18,18.333,18.5,4.563,0
2024-05-01,141,7,5,5,4,7,11,10,8.0,7.5,2.908,0
2024-01-01,14,1,1,20,18,24,12,16,20.333,20.083,4.641,0
2025-06-01,78,1,6,16,25,19,19,11,17.833,17.333,4.697,0
2024-09-01,28,1,9,26,24,27,14,17,20.333,19.917,5.178,0
2024-05-01,9,1,5,10,27,21,21,17,22.833,19.333,4.271,0
2024-04-01,106,2,4,9,8,6,7,7,6.0,7.083,2.109,0
2023-03-01,21,1,3,28,13,20,25,18,19.667,19.917,3.26,1
2024-10-01,16,1,10,26,17,17,16,19,16.5,17.5,2.97,1
2023-07-01,128,5,7,10,6,7,4,9,5.833,6.667,1.614,1
2025-04-01,48,1,4,20,14,12,19,17,15.5,17.25,2.958,0
2025-10-01,77,1,10,27,17,9,15,15,15.167,17.333,4.097,1
2023-11-01,160,9,11,10,7,2,6,6,5.833,6.333,1.826,1
2023-09-01,133,6,9,5,4,14,7,9,7.5,7.417,3.423,0
2024-04-01,127,5,4,6,6,5,5,10,5.0,6.667,2.06,0
2024-08-01,132,5,8,7,6,8,6,10,6.667,6.667,2.871,0
2024-11-01,55,1,11,16,16,21,16,16,18.667,17.417,2.746,0
2025-07-01,95,1,7,21,14,15,22,17,18.5,18.833,3.407,0
2023-08-01,152,8,8,7,5,2,5,7,5.667,5.75,2.221,0
2024-10-01,2,1,10,26,19,17,14,15,17.5,14.833,4.174,1
2024-11-01,61,1,11,31,27,20,11,19,18.0,18.833,4.509,1
2024-07-01,118,4,7,6,8,6,5,6,7.333,7.0,1.809,0
2023-03-01,83,1,3,17,19,14,16,16,17.333,18.25,2.563,0
2023-05-01,135,6,5,4,5,6,8,4,5.333,6.25,2.667,0
2024-06-01,29,1,6,22,27,22,18,18,20.833,19.583,5.435,0
2023-10-01,22,1,10,17,17,16,25,18,19.0,18.5,3.451,0
2024-08-01,125,5,8,4,4,12,8,11,6.167,6.583,2.778,0
2023-09-01,11,1,9,22,20,35,19,13,22.0,19.083,6.273,0
2025-04-01,163,9,4,13,3,3,2,2,4.333,5.417,3.204,1
2024-10-01,85,1,10,14,18,25,22,19,20.0,20.583,4.055,0
2024-01-01,3,1,1,17,17,16,25,20,18.333,18.417,3.37,0
