ArrestSurrenderID,CaseMasterID,AccusedMasterID,ArrestSurrenderDate,ArrestType
293,1674,1058,2023-12-18,Surrender
294,2894,676,2024-07-24,Surrender
295,4765,2884,2025-06-29,Arrest
296,1098,7878,2026-06-30,Arrest
297,1237,3149,2024-09-16,Arrest
298,2343,3479,2024-07-02,Arrest
299,1159,3165,2023-03-13,Arrest
300,866,5565,2023-07-06,Surrender
301,610,7840,2023-07-10,Arrest
302,1650,4610,2026-06-30,Surrender
303,1970,4748,2026-04-05,Arrest
304,2181,2165,2025-08-24,Arrest
305,655,4774,2025-12-18,Arrest
306,4966,5930,2024-04-26,Arrest
307,1620,3380,2023-04-03,Arrest
308,2772,6813,2022-10-20,Surrender
309,133,5915,2024-09-11,Arrest
310,136,2898,2022-10-12,Arrest
311,797,5021,2024-07-20,Arrest
312,3600,5325,2022-07-29,Arrest
313,771,5635,2026-01-18,Arrest
314,3920,305,2023-06-26,Surrender
315,3914,186,2024-08-27,Arrest
316,4219,2956,2026-02-22,Arrest
317,1965,5508,2025-05-15,Arrest
318,4542,5297,2023-02-26,Surrender
319,2265,7229,2026-04-17,Arrest
320,458,8206,2024-08-12,Arrest
321,2742,8100,2026-03-14,Arrest
322,386,5883,2025-07-26,Arrest
323,4314,6074,2025-04-09,Arrest
324,2432,4697,2022-04-12,Arrest
325,1333,1576,2025-07-25,Arrest
326,4406,2211,2022-05-31,Arrest
327,4695,8407,2026-05-04,Arrest
328,19,1468,2022-05-24,Arrest
329,3054,1370,2023-12-01,Arrest
330,1260,4615,2023-05-05,Arrest
331,575,6648,2026-04-28,Arrest
332,1369,3946,2024-07-24,Arrest
333,4736,1438,2024-01-08,Surrender
334,895,5247,2025-10-02,Arrest
335,3738,4092,2023-03-24,Arrest
336,3983,1560,2026-01-21,Arrest
337,1845,2535,2023-05-19,Surrender
338,1540,6473,2022-04-30,Arrest
339,3890,1946,2023-01-24,Arrest
340,320,347,2022-07-27,Arrest
341,4366,6384,2023-04-15,Arrest
342,615,6907,2022-02-24,Arrest
343,2622,4141,2024-08-12,Surrender
344,2925,6528,2022-04-08,Arrest
345,2507,7264,2025-07-31,Arrest
346,2047,246,2023-12-22,Arrest
347,396,2247,2026-05-11,Surrender
348,971,7619,2022-10-14,Arrest
349,117,737,2026-02-06,Arrest
350,3955,3095,2024-04-09,Arrest
351,1923,7186,2023-08-05,Arrest
352,3923,842,2026-03-25,Surrender
353,1177,5126,2023-02-12,Arrest
354,340,1077,2022-04-08,Arrest
355,996,4687,2022-08-20,Arrest
356,4688,701,2022-07-25,Arrest
357,3808,7977,2023-05-22,Surrender
358,410,7400,2024-08-02,Surrender
359,436,3885,2024-10-23,Arrest
360,2511,1692,2024-01-04,Arrest
361,3770,7615,2022-07-08,Arrest
362,3404,5558,2025-07-28,Arrest
363,708,568,2023-03-10,Arrest
364,3575,3621,2024-06-21,Arrest
365,2798,3003,2025-04-05,Arrest
366,1679,1148,2022-11-25,Arrest
367,1435,1878,2026-06-30,Arrest
368,3495,3000,2023-06-14,Arrest
369,3249,430,2024-12-03,Arrest
370,4003,234,2026-03-11,Arrest
371,417,4393,2024-06-14,Arrest
372,589,7047,2025-07-24,Surrender
373,2743,2761,2026-03-20,Arrest
374,629,7889,2023-10-17,Arrest
375,519,648,2023-10-14,Arrest
376,4562,6059,2025-04-06,Arrest
377,3375,2349,2022-08-16,Arrest
378,4645,3468,2025-01-24,Surrender
379,1776,7563,2024-01-10,Arrest
380,589,7046,2025-09-23,Arrest
381,3062,7478,2024-01-31,Arrest
382,4278,1996,2022-04-24,Arrest
383,4568,3347,2022-05-13,Arrest
384,1721,1643,2023-05-19,Arrest
385,4352,4276,2022-08-18,Surrender
386,1320,734,2022-07-08,Surrender
387,1293,3124,2024-06-23,Arrest
388,3489,20,2025-09-05,Surrender
389,4152,5514,2022-04-27,Arrest
390,1,7666,2023-02-01,Surrender
391,3185,7384,2023-12-05,Arrest
392,2922,6021,2025-02-10,Arrest
393,3696,320,2022-05-01,Arrest
394,2665,6672,2023-08-17,Arrest
395,2833,4095,2024-12-07,Surrender
396,4417,6629,2025-05-11,Surrender
397,3896,3796,2024-04-07,Arrest
398,2820,4915,2024-10-16,Arrest
399,1573,6075,2024-11-03,Arrest
400,2462,1759,2024-05-13,Arrest
401,306,6144,2025-03-11,Arrest
402,292,4329,2025-02-02,Arrest
403,2623,1394,2025-11-22,Surrender
404,4518,7525,2026-01-28,Surrender
405,3226,5245,2026-06-30,Arrest
406,2200,4746,2024-10-27,Arrest
407,4124,1039,2025-03-02,Surrender
408,1784,1632,2025-10-05,Surrender
409,120,170,2024-10-17,Arrest
410,4410,7458,2023-12-09,Arrest
411,2519,3147,2022-05-27,Surrender
412,3850,2277,2025-03-07,Arrest
413,4561,4621,2025-12-03,Arrest
414,1872,8373,2023-12-04,Arrest
415,2200,4747,2024-11-17,Arrest
416,4555,510,2024-05-28,Arrest
417,1506,3466,2023-07-05,Arrest
418,47,1124,2025-05-12,Surrender
419,4495,9,2023-09-23,Arrest
420,181,3471,2026-01-27,Arrest
421,3488,1502,2026-02-03,Arrest
422,4575,4076,2023-11-26,Arrest
423,4021,7665,2023-04-20,Arrest
424,932,5819,2022-03-27,Arrest
425,2600,5232,2024-10-22,Arrest
426,2685,2174,2022-12-02,Arrest
427,2849,3004,2024-12-29,Arrest
428,3532,8435,2026-06-30,Arrest
429,351,4673,2025-03-08,Arrest
430,4460,7380,2023-09-20,Arrest
431,3089,3818,2026-04-25,Arrest
432,4575,4075,2024-02-04,Arrest
433,4739,7119,2022-10-27,Arrest
434,995,3039,2024-03-12,Arrest
435,2174,4768,2026-06-12,Arrest
436,1246,4419,2026-03-16,Arrest
437,2258,2465,2024-12-31,Surrender
438,3197,4708,2025-05-22,Surrender
439,3274,2317,2024-02-18,Arrest
440,1981,2532,2022-01-29,Arrest
441,869,8492,2025-09-15,Surrender
442,3193,4374,2024-10-06,Arrest
443,803,1227,2025-10-05,Arrest
444,3961,2421,2026-06-20,Arrest
445,3039,1598,2024-08-05,Arrest
446,2100,6492,2026-04-05,Arrest
447,1703,624,2024-03-03,Arrest
448,1832,488,2022-02-25,Arrest
449,692,2580,2025-09-25,Arrest
450,4810,6225,2023-10-24,Arrest
451,1946,4852,2023-08-31,Arrest
452,496,5075,2025-01-01,Arrest
453,3195,6577,2022-11-16,Arrest
454,2695,1234,2022-10-11,Arrest
455,2984,3773,2022-03-28,Arrest
456,3844,7471,2025-09-29,Arrest
457,3619,6248,2025-12-14,Arrest
458,2672,8181,2025-05-18,Arrest
459,4503,5063,2024-07-04,Arrest
460,1300,2550,2024-04-10,Arrest
461,730,1062,2025-03-05,Surrender
462,498,6463,2023-12-28,Arrest
463,2516,5584,2025-09-27,Arrest
464,4913,462,2022-11-23,Surrender
465,983,1116,2025-05-30,Arrest
466,4438,7820,2026-05-25,Arrest
467,284,5604,2026-04-27,Arrest
468,4738,4952,2023-10-20,Arrest
469,2882,1942,2023-08-25,Arrest
470,1296,3289,2023-12-28,Arrest
471,4123,6532,2026-05-11,Arrest
472,1265,3579,2023-03-31,Arrest
473,535,4478,2023-09-18,Arrest
474,2967,2983,2023-12-06,Arrest
475,4357,7273,2024-06-04,Arrest
476,1777,1069,2023-11-22,Arrest
477,2728,7763,2025-03-27,Arrest
478,4805,743,2025-05-23,Arrest
479,2354,8346,2025-12-20,Arrest
480,1705,100,2023-10-27,Arrest
481,1736,7299,2024-04-09,Surrender
482,114,6041,2023-04-09,Surrender
483,1932,7472,2022-04-06,Arrest
484,3993,1200,2023-03-18,Arrest
485,1522,4539,2022-05-16,Arrest
486,3107,8282,2025-06-18,Arrest
487,435,3556,2024-07-28,Arrest
488,1537,466,2025-02-06,Arrest
489,3415,6157,2026-04-11,Arrest
490,2253,1599,2025-07-29,Arrest
491,2978,292,2026-01-11,Surrender
492,3720,6052,2023-02-21,Arrest
493,4648,5665,2024-10-03,Arrest
494,4646,7911,2025-05-23,Arrest
495,4333,7521,2026-01-24,Arrest
496,3185,7385,2024-01-27,Arrest
497,4652,3863,2025-11-29,Arrest
498,2877,3814,2022-11-22,Surrender
499,3042,4247,2026-02-23,Arrest
500,2842,555,2023-09-16,Arrest
501,912,3186,2022-09-30,Arrest
502,4992,7269,2026-06-19,Arrest
503,312,2447,2025-03-13,Arrest
504,546,1184,2022-11-07,Surrender
505,3721,4296,2022-03-25,Arrest
506,3775,6214,2025-08-29,Arrest
507,2050,1045,2024-04-21,Surrender
508,1804,3318,2022-02-12,Arrest
509,724,6466,2024-03-05,Arrest
510,3093,2969,2023-12-12,Arrest
511,4743,8288,2025-06-03,Surrender
512,4898,7574,2024-10-10,Arrest
513,3645,3342,2022-08-30,Arrest
514,216,7876,2024-09-28,Arrest
515,3267,8598,2025-11-17,Arrest
516,239,665,2023-12-28,Arrest
517,424,5551,2024-11-11,Arrest
518,1538,5947,2025-11-19,Arrest
519,3352,2649,2022-12-20,Surrender
520,1216,1323,2026-02-21,Arrest
521,2561,2647,2026-05-31,Arrest
522,1928,5741,2023-07-08,Arrest
523,4512,5716,2024-08-17,Arrest
524,4302,2250,2022-01-18,Arrest
525,4829,4569,2022-04-17,Arrest
526,2536,6425,2026-02-18,Surrender
527,4748,5170,2026-06-30,Arrest
528,2470,1384,2024-12-16,Surrender
529,2234,2202,2024-02-14,Surrender
530,3577,5820,2022-03-11,Arrest
531,633,8594,2025-09-11,Arrest
532,1376,3434,2024-11-18,Arrest
533,2358,3882,2025-04-23,Arrest
534,898,2115,2022-12-09,Surrender
535,3887,2413,2025-01-22,Arrest
536,2317,5703,2026-06-24,Arrest
537,3222,6394,2024-05-17,Arrest
538,2604,4843,2025-07-21,Surrender
539,2563,857,2022-11-16,Arrest
540,4577,2629,2023-03-16,Arrest
541,3942,4185,2025-11-24,Surrender
542,1887,1407,2023-06-03,Surrender
543,1947,3940,2025-03-24,Arrest
544,1156,7847,2023-01-04,Arrest
545,4127,3255,2026-02-17,Arrest
546,252,484,2023-05-07,Arrest
547,4290,4824,2024-01-14,Arrest
548,3654,8001,2022-10-30,Arrest
549,380,2264,2025-11-23,Arrest
550,4502,458,2025-03-18,Arrest
551,1058,2466,2025-06-14,Arrest
552,357,2599,2024-09-25,Arrest
553,2453,6764,2025-06-06,Arrest
554,2774,669,2024-02-19,Arrest
555,66,3045,2024-05-14,Arrest
556,1638,331,2023-03-05,Surrender
557,528,1514,2023-10-06,Surrender
558,2076,7073,2023-08-01,Arrest
559,2526,7392,2025-10-22,Arrest
560,2966,8055,2026-06-09,Arrest
561,1131,3046,2026-04-25,Arrest
562,2945,5748,2025-11-10,Arrest
563,4858,1422,2025-04-28,Surrender
564,3114,3961,2026-06-30,Arrest
565,4606,8721,2024-02-09,Arrest
566,2691,6828,2025-06-23,Arrest
567,1349,1619,2026-06-13,Surrender
568,1291,5734,2025-02-03,Arrest
569,3708,5304,2026-03-27,Surrender
570,1145,4650,2024-07-20,Arrest
571,3289,8630,2023-10-16,Arrest
572,2319,966,2023-04-06,Arrest
573,3631,7602,2026-06-30,Arrest
574,1206,7188,2026-01-25,Arrest
575,4808,3155,2024-12-30,Arrest
576,2817,2184,2025-07-06,Arrest
577,815,2933,2023-02-15,Arrest
578,2075,1955,2025-01-23,Arrest
579,140,4950,2022-03-29,Surrender
580,2987,7465,2023-03-28,Arrest
581,2586,7856,2022-07-18,Arrest
582,2182,3054,2024-03-11,Arrest
583,85,2989,2022-03-20,Arrest
584,2852,6208,2024-12-21,Arrest
585,2416,8348,2022-06-11,Arrest
586,2848,7322,2024-11-13,Surrender
587,375,6439,2025-05-23,Surrender
588,4649,2848,2023-09-04,Arrest
589,1935,541,2022-07-03,Arrest
590,2701,1406,2023-12-28,Arrest
591,70,6389,2023-01-27,Arrest
592,1479,3397,2025-10-11,Arrest
593,1829,4619,2023-04-06,Arrest
594,2622,4140,2024-08-05,Arrest
595,4085,6740,2026-04-04,Arrest
596,184,8461,2025-11-16,Arrest
597,4511,6004,2023-12-25,Surrender
598,2829,1298,2025-12-23,Arrest
599,1976,3858,2025-09-11,Arrest
600,1242,3821,2023-02-18,Arrest
601,1111,1534,2022-12-09,Arrest
602,2463,8057,2024-10-22,Surrender
603,4400,3152,2022-08-07,Arrest
604,3962,4971,2025-01-14,Arrest
605,673,5254,2025-04-26,Arrest
606,1094,4475,2024-12-22,Surrender
607,399,7596,2024-01-16,Arrest
608,578,6736,2026-06-30,Arrest
609,2982,2961,2023-07-23,Arrest
610,1696,6575,2022-08-31,Arrest
611,3449,2993,2022-06-26,Arrest
612,962,7202,2026-05-06,Surrender
613,141,605,2022-02-20,Surrender
614,4762,249,2022-10-07,Arrest
615,132,6278,2023-04-13,Surrender
616,4770,3654,2025-09-01,Arrest
617,4920,4908,2024-06-07,Arrest
618,1035,5793,2026-04-10,Surrender
619,1689,264,2025-11-02,Arrest
620,4397,3266,2025-11-03,Arrest
621,2104,3218,2022-05-23,Arrest
622,1135,4642,2024-06-03,Arrest
623,4501,8398,2024-02-18,Surrender
624,1315,533,2022-06-21,Arrest
625,4731,1403,2026-01-22,Surrender
626,4619,8385,2023-10-16,Arrest
627,1124,1091,2025-03-04,Arrest
628,3981,456,2024-12-06,Surrender
629,264,8299,2023-09-01,Arrest
630,4028,5235,2024-06-11,Arrest
631,1559,7065,2022-10-16,Arrest
632,3873,3088,2025-03-11,Arrest
633,3831,2796,2023-03-27,Arrest
634,3785,4042,2025-02-25,Surrender
635,3903,3740,2024-04-05,Arrest
636,3709,3474,2024-05-09,Arrest
637,1504,4368,2026-06-30,Arrest
638,3899,7072,2024-11-30,Arrest
639,1732,1730,2026-06-30,Arrest
640,4782,1627,2023-01-10,Arrest
641,41,7946,2025-12-29,Arrest
642,2474,5932,2025-05-12,Arrest
643,2305,683,2023-09-03,Surrender
644,1740,5730,2026-03-13,Arrest
645,1922,7756,2022-11-26,Arrest
646,3845,7612,2025-01-20,Arrest
647,2625,1264,2022-10-16,Arrest
648,4691,8712,2025-11-09,Arrest
649,4848,1198,2022-06-18,Surrender
650,576,7659,2023-12-04,Arrest
651,3779,7595,2025-05-03,Surrender
652,944,218,2023-08-30,Arrest
653,1358,3035,2023-08-20,Arrest
654,3571,2064,2023-02-20,Surrender
655,2513,6654,2022-08-15,Arrest
656,3996,759,2023-06-21,Arrest
657,3748,6259,2022-07-17,Arrest
658,427,5009,2023-04-27,Arrest
659,2616,1006,2022-09-30,Surrender
660,3906,6334,2025-04-21,Arrest
661,1575,8399,2025-01-28,Arrest
662,4906,2073,2023-04-24,Arrest
663,1132,1003,2023-03-31,Arrest
664,3238,7900,2022-10-04,Surrender
665,3328,5575,2025-07-28,Arrest
666,4215,1047,2023-08-26,Arrest
667,2789,5160,2024-01-14,Surrender
668,2727,6146,2026-06-30,Arrest
669,79,7767,2022-07-07,Arrest
670,1549,4339,2025-05-07,Arrest
671,4860,1329,2025-09-12,Surrender
672,4821,51,2026-03-21,Arrest
673,2745,2111,2024-06-25,Arrest
674,4092,4964,2025-12-05,Arrest
675,1530,8642,2024-08-18,Arrest
676,1388,5396,2026-02-19,Arrest
677,328,4377,2023-12-11,Arrest
678,3330,1889,2024-06-05,Arrest
679,3207,6901,2026-06-18,Arrest
680,1248,7315,2025-11-22,Arrest
681,4710,1023,2025-11-29,Arrest
682,4995,1431,2026-02-03,Arrest
683,3219,4512,2024-02-18,Arrest
684,4859,6809,2024-03-13,Arrest
685,2408,6951,2023-11-16,Surrender
686,2463,8058,2024-09-28,Arrest
687,645,8152,2023-12-28,Surrender
688,2704,2026,2025-05-13,Arrest
689,67,2593,2024-09-18,Arrest
690,3433,102,2023-02-10,Arrest
691,3521,8560,2026-06-05,Arrest
692,100,6358,2026-05-13,Arrest
693,2020,4782,2022-07-28,Arrest
694,1020,3245,2025-07-26,Arrest
695,301,6651,2023-10-16,Arrest
696,1951,1963,2024-07-15,Arrest
697,1994,6866,2025-05-11,Arrest
698,2607,5846,2026-05-30,Surrender
699,4416,7882,2025-02-26,Arrest
700,1762,2289,2025-04-13,Surrender
701,1563,4103,2023-12-24,Arrest
702,1907,6224,2023-11-18,Surrender
703,1576,5188,2024-10-10,Arrest
704,4756,4804,2024-07-31,Arrest
705,2861,6486,2024-09-27,Arrest
706,2719,3521,2023-10-02,Arrest
