"gravity_level","days_since_latest","station_case_volume","crime_type_volume","accused_count","repeat_accused_count","arrest_count","arrest_rate_percent","risk_class_id"
"2","781","1013","8790","1","0","1","100","0"
"3","1310","948","7187","2","2","1","50","1"
"5","863","938","4897","1","1","1","100","2"
"4","1556","1005","5916","1","1","1","100","1"
"5","660","982","5051","3","2","3","100","2"
"4","578","940","5932","3","2","1","33","2"
"5","1050","972","4897","3","1","3","100","2"
"4","865","992","5816","1","1","1","100","1"
"3","1620","984","7115","2","1","2","100","1"
"2","787","986","8965","1","1","0","0","0"
"5","326","976","5051","4","2","3","75","2"
"5","1267","1097","4897","1","0","1","100","2"
"4","517","1048","5932","1","1","1","100","2"
"5","1069","1019","5147","1","0","1","100","2"
"3","1082","1009","7161","1","0","0","0","0"
"3","1031","940","7161","1","1","1","100","0"
"2","34","1043","8790","1","1","1","100","0"
"5","1133","940","5147","1","1","1","100","2"
"2","521","965","8790","1","1","1","100","0"
"4","1022","983","5932","1","1","0","0","2"
"5","252","973","5062","1","1","1","100","2"
"2","592","994","8965","1","1","0","0","0"
"3","809","1034","7115","1","0","0","0","1"
"3","22","1017","7187","2","1","2","100","1"
"2","1392","985","8790","3","1","1","33","0"
"3","407","985","7115","1","1","1","100","1"
"5","679","997","5147","1","0","1","100","2"
"2","532","1042","8965","1","1","1","100","0"
"3","1090","949","7187","1","1","1","100","0"
"4","678","995","5816","1","0","1","100","1"
"2","697","1016","8790","1","1","1","100","0"
"2","112","938","8790","1","1","0","0","0"
"3","480","1070","7018","1","1","0","0","1"
"4","955","949","5916","1","0","0","0","1"
"4","796","1034","5916","1","1","0","0","2"
"3","226","1023","7018","1","1","1","100","1"
"2","1572","1034","8965","1","0","0","0","0"
"3","1595","1019","7115","1","0","1","100","0"
"5","1542","1085","4897","1","0","0","0","2"
"5","864","938","5147","1","0","0","0","2"
"3","1536","1095","7161","2","1","2","100","1"
"3","637","1067","7161","1","0","1","100","0"
"3","1023","971","7187","2","2","1","50","1"
"4","1269","969","5916","1","0","1","100","1"
"5","1159","1024","5062","2","1","2","100","2"
"3","1454","1023","7042","1","0","1","100","0"
"2","561","1009","8901","1","0","0","0","0"
"3","133","1042","7161","1","1","1","100","1"
"3","185","1005","7161","2","2","1","50","2"
"2","230","988","8901","1","0","1","100","0"
"4","899","1007","5816","2","2","2","100","2"
"5","1162","986","5062","1","1","1","100","2"
"2","1237","985","8965","1","1","0","0","0"
"2","118","1035","8901","1","0","1","100","0"
"5","992","1017","5051","3","2","3","100","2"
"3","494","1016","7115","1","1","1","100","1"
"4","27","982","5932","1","1","1","100","2"
"5","1085","1067","5051","2","0","1","50","2"
"3","314","1048","7115","3","3","3","100","2"
"5","264","984","5051","3","1","2","67","2"
"3","893","988","7018","2","2","1","50","1"
"4","250","1008","5816","2","2","1","50","2"
"2","707","1009","8965","2","2","1","50","1"
"4","52","1009","5816","1","1","0","0","2"
"4","864","991","5932","3","3","2","67","2"
"2","632","1097","8901","4","2","4","100","1"
"3","1524","992","7161","2","1","2","100","1"
"4","346","1067","5932","3","0","3","100","2"
"2","452","972","8965","2","2","2","100","0"
"5","1165","990","4897","2","2","1","50","2"
"4","415","1027","5816","2","1","1","50","2"
"3","402","1016","7018","2","1","1","50","1"
"3","1031","1024","7042","1","0","0","0","1"
"4","1362","1000","5916","1","0","0","0","1"
"5","693","987","5051","3","2","2","67","2"
"3","479","971","7042","2","1","1","50","1"
"4","747","995","5816","1","1","0","0","1"
"3","1007","1048","7018","2","1","1","50","1"
"2","1583","972","8901","1","1","1","100","0"
"4","798","1005","5916","1","1","0","0","2"
"5","1305","995","5051","1","0","0","0","2"
"5","135","1017","5062","1","1","0","0","2"
"3","1517","1037","7042","3","2","1","33","2"
"2","536","986","8901","2","0","2","100","0"
"2","1549","967","8790","2","1","1","50","0"
"5","23","1019","4897","1","1","1","100","2"
"4","617","989","5916","1","0","1","100","1"
"2","1211","1020","8965","3","1","2","67","0"
"3","1149","1047","7018","2","1","2","100","1"
"3","650","997","7115","1","1","1","100","1"
"4","1168","1017","5816","1","1","0","0","2"
"4","923","985","5932","1","1","1","100","1"
"4","184","1043","5932","2","1","2","100","2"
"3","1594","1067","7018","2","0","1","50","1"
"3","276","1013","7161","1","1","1","100","1"
"3","459","1016","7187","2","1","1","50","1"
"2","221","982","8965","3","2","2","67","1"
"5","1487","1070","5051","3","3","3","100","2"
"3","726","1020","7187","2","0","0","0","1"
"3","1082","1020","7018","2","2","2","100","1"
"5","1013","978","5051","2","0","2","100","2"
"3","1257","1017","7161","1","0","0","0","1"
"5","51","1048","5051","1","1","0","0","2"
"5","1174","938","5051","1","0","1","100","1"
"3","254","1001","7161","2","2","1","50","2"
"3","1603","1042","7187","3","2","2","67","2"
"2","163","1027","8790","4","1","2","50","1"
"2","995","1085","8965","2","1","2","100","0"
"2","713","985","8965","2","1","2","100","0"
"3","1089","1008","7018","1","1","0","0","1"
"3","1430","948","7115","1","0","1","100","0"
"3","355","975","7018","2","2","1","50","1"
"4","1368","1000","5932","2","1","1","50","2"
